SampleID	group
G1CA	LP
G1CB	LP
G1CC	LP
G1IA	LP
G1IB	LP
G1IC	LP
G1P1A	LP
G1P1B	LP
G1P1C	LP
G1P2A	LP
G1P2B	LP
G1P2C	LP
G1SA	LP
G1SC	LP
G1STA	LP
G1STC	LP
G2CA	LP
G2CB	LP
G2CC	LP
G2IA	LP
G2IB	LP
G2IC	LP
G2P1A	LP
G2P1B	LP
G2P1C	LP
G2P2A	LP
G2P2B	LP
G2P2C	LP
G2SA	LP
G2SC	LP
G2STA	LP
G2STB	LP
G2STC	LP
SRR2128225	ISS
SRR2130127	ISS
SRR2130128	ISS
SRR2130135	ISS
SRR2130167	ISS
SRR2130168	ISS
SRR2130169	ISS
SRR2130170	ISS
air_t1	home_plant
WHT.6.13	park
WEG.6.13	park
MEL.6.13	park
WES.6.6	park
CEM.6.6	park
JAS.6.6	park
WLF.6.6	park
MAU.6.27	park
WES.6.27	park
MEL.6.27	park
WLF.6.27	park
ABG.6.20	park
JAS.6.20	park
THG.6.20	park
SKI.6.20	park
HAR.6.20	park
SKI.6.13	park
WLF.6.13	park
ABG.6.13	park
MEL.6.6	park
ABF.6.13	park
WES.6.13	park
ABG.6.6	park
SKI.6.6	park
LAU.6.27	park
ABF.6.27	park
WHT.6.27	park
HAR.6.27	park
MAU.6.20	park
ABF.6.20	park
WES.6.20	park
LAU.6.20	park
WHT.6.20	park
CEM.6.13	park
LAU.6.13	park
LAU.6.6	park
HAR.6.6	park
WEG.6.6	park
WHT.6.6	park
MAU.6.6	park
ABF.6.6	park
CEM.6.27	park
WEG.6.27	park
ABG.6.27	park
SKI.6.27	park
JAS.6.27	park
WLF.6.20	park
WEG.6.20	park
MEL.6.20	park
CEM.6.20	park
THG.6.6	park
x1	room
x2	room
x3	room
x4	room
x7	room
x8	room
x9	room
x10	room
x6	outside
x5	outside
x12	outside
x11	outside
air1	room
air2	room
air3	room
air4	room
air5	room
air6	room
air7	room
air8	room
air9	outside
air10	outside
air11	outside
air12	outside
air13	room
air14	room
air15	room
air17	room
air18	room
air19	room
air20	room
air21	outside
air22	outside
air23	outside
air24	outside
air25	room
air26	room
air27	room
air28	room
air29	room
air30	room
air31	room
air32	room
air33	outside
air34	outside
air35	outside
air36	outside
air37	room
air38	room
air39	room
air40	room
air41	room
air42	room
air43	room
air44	room
air45	outside
air46	outside
air47	outside
air48	outside
air49	room
air50	room
air51	room
air52	room
air53	room
air54	room
air55	room
air57	outside
air58	outside
air59	outside
air60	outside
air61	room
air62	room
air63	room
air64	room
air65	room
air66	room
air67	room
air68	room
air69	outside
air70	outside
air71	outside
air72	outside
air73	room
air74	room
air75	room
air76	room
air77	room
air78	room
air79	room
air80	room
air81	outside
air82	outside
air83	outside
air84	outside
air85	room
air86	room
air87	room
air88	room
air89	room
air90	room
air91	room
air92	room
air93	outside
air94	outside
air95	outside
air96	outside
air097	room
air098	room
air099	room
air100	room
air101	room
air102	room
air103	room
air104	room
air105	outside
air106	outside
air107	outside
air108	outside
air109	room
air110	room
air111	room
air112	room
air113	room
air114	room
air115	room
air116	room
air117	outside
air118	outside
air119	outside
air120	outside
air121	room
air122	room
air123	room
air124	room
air125	room
air126	room
air128	room
air129	outside
air130	outside
air131	outside
air132	outside
air133	room
air134	room
air135	room
air136	room
air137	room
air138	room
air139	room
air140	room
air141	outside
air143	outside
air144	outside
air146	room
air147	room
air148	room
air149	room
air150	room
air151	room
air152	room
air153	outside
air154	outside
air155	outside
air156	outside
air157	room
air158	room
air159	room
air160	room
air161	room
air162	room
air163	room
air164	room
air165	outside
air166	outside
air167	outside
air168	outside
air169	room
air170	room
air171	room
air172	room
air173	room
air174	room
air175	room
air176	room
air177	outside
air178	outside
air179	outside
air180	outside
air181	room
air182	room
air183	room
air184	room
air185	room
air186	room
air187	room
air188	room
air189	outside
air190	outside
air191	outside
air192	outside
air193	room
air194	room
air195	room
air196	room
air197	room
air198	room
air199	room
air200	room
air201	outside
air202	outside
air203	outside
air204	outside
air205	room
air206	room
air207	room
air208	room
air209	room
air210	room
air211	room
air212	room
air213	outside
air214	outside
air215	outside
air217	room
air218	room
air219	room
air220	room
air221	room
air222	room
air223	room
air224	room
air225	outside
air226	outside
air227	outside
air228	outside
air229	room
air230	room
air231	room
air232	room
air241	room
air242	room
air243	room
air244	room
air245	room
air246	room
air247	room
air248	room
air249	outside
air250	outside
air251	outside
air252	outside
air253	room
air254	room
air255	room
air256	room
air257	room
air258	room
air259	room
air260	room
air261	outside
air262	outside
air263	outside
air264	outside
air265	room
air266	room
air267	room
air268	room
air269	room
air270	room
air271	room
air272	room
air273	outside
air274	outside
air275	outside
air276	outside
air277	room
air278	room
air279	room
air280	room
air281	room
air282	room
air283	room
air284	room
air285	outside
air287	outside
air288	outside
air289	room
air290	room
air291	room
air292	room
air293	room
air294	room
air296	room
air297	outside
air298	outside
air299	outside
air300	outside
air302	room
air303	room
air304	room
air305	room
air306	room
air307	room
air308	room
air309	outside
air310	outside
air312	outside
