taxonomy	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC	WHT.6.13	WEG.6.13	MEL.6.13	WES.6.6	CEM.6.6	JAS.6.6	WLF.6.6	MAU.6.27	WES.6.27	MEL.6.27	WLF.6.27	ABG.6.20	JAS.6.20	THG.6.20	SKI.6.20	HAR.6.20	SKI.6.13	WLF.6.13	ABG.6.13	MEL.6.6	ABF.6.13	WES.6.13	ABG.6.6	SKI.6.6	LAU.6.27	ABF.6.27	WHT.6.27	HAR.6.27	MAU.6.20	ABF.6.20	WES.6.20	LAU.6.20	WHT.6.20	CEM.6.13	LAU.6.13	LAU.6.6	HAR.6.6	WEG.6.6	WHT.6.6	MAU.6.6	ABF.6.6	CEM.6.27	WEG.6.27	ABG.6.27	SKI.6.27	JAS.6.27	WLF.6.20	WEG.6.20	MEL.6.20	CEM.6.20	THG.6.6	air_t1	air290	air163	air206	air283	air30	air67	air7	air85	air196	air211	air212	air209	air220	air199	air208	air218	air200	air210	air217	air197	air207	air193	air215	air205	air198	air273	air247	air244	air292	air293	air224	air242	air291	air246	air245	air243	air304	air305	air303	air296	air248	air284	air223	air241	air278	air230	air222	air269	air254	air306	air258	air265	air271	air162	air160	air158	air186	air130	air179	air124	air161	air180	air113	air174	air157	air181	air185	air152	air190	air121	air172	air129	air170	air159	air156	air117	air176	air154	air177	air173	air188	air151	air187	air123	air147	air167	air171	air183	air097	air169	air132	air110	air137	x7	x3	x4	x8	x2	x10	x9	x1	air87	air194	air203	air227	air289	air272	air302	air299	air259	air274	air104	air120	air139	air184	air81	air63	air90	air82	air95	air219	air202	air255	air270	air257	air175	air138	x5	air249	air275	air131	air213	air252	air287	air166	air191	air098	air189	air122	air86	air204	air182	air168	x11	air27	air251	air256	air165	air288	air280	air225	air267	x6	air308	air135	air125	air128	air221	air261	air107	air195	air310	air226	air53	air232	air307	air155	air46	air44	air148	air228	air146	air312	air52	air250	air106	air83	air92	air8	air73	air62	air266	air264	air57	air153	air1	air192	air140	air149	air150	air114	air108	air099	air111	air119	air116	air144	air100	air105	air279	air112	air118	air103	air133	air126	air141	air102	air89	air263	air309	x12	air70	air262	air101	air115	air294	air93	air178	air84	air134	air94	air285	air71	air214	air34	air69	air22	air61	air72	air253	air298	air91	air37	air49	air3	air17	air38	air79	air12	air66	air88	air35	air6	air9	air25	air2	air201	air276	air143	air4	air96	air260	air297	air268	air45	air43	air41	air54	air50	air23	air64	air15	air24	air77	air11	air28	air60	air58	air74	air80	air59	air231	air300	air277	air229	air282	air36	air55	air26	air32	air13	air19	air68	air42	air48	air164	air75	air29	air10	air76	air20	air136	air109	air39	air5	air40	air33	air65	air21	air78	air18	air47	air31	air14	air281	air51	SRR2128225	SRR2130127	SRR2130128	SRR2130135	SRR2130167	SRR2130168	SRR2130169	SRR2130170
k__Bacteria	424	561	445	433	119	272	413	700	472	495	504	486	236	527	223	341	86	8	137	213	224	393	664	1680	4	140	3	274	210	214	190	273	239	127	4	45	43	29	35	0	1	0	57	261	15	25	3	5	58	82	89	263	14	47	1	4	6	3	120	85	34	17	7	3	23	44	0	1	48	19	7	40	6	21	0	2	36	13	36	28	0	61	39	59	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	7	6	7	1	0	0	1	0	1	2	0	4	3	0	1	0	0	0	0	9	10	4	15	7	0	0	1	0	1	1	6	0	6	2	1	2	6	0	5	7	1	0	3	4	16	1	0	4	0	0	0	7	0	1	3	2	1	4	2	0	14	1	0	0	0	2	0	2	0	0	1	0	1	9	4	0	4	0	2	0	0	2	3	2	1	1	4	0	3	2	0	0	0	17	0	2	1	9	3	0	9	0	0	2	0	0	8	2	1	2	1	0	1	1	6	3	0	0	4	2	2	4	5	3	2	0	11	12	0	4	0	2	2	6	0	0	0	0	0	2	1	0	1	0	2	10	0	1	0	0	0	7	1	0	0	0	1	1	3	0	0	15	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	7	2	0	0	0	0	2	5	0	0	0	0	0	0	3	2	0	3	5	2	0	3	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	33	0	0	0	0	0	0	0	68	0	0	0	0	1	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	76	3555	11	5	17	19
k__Bacteria;p__[Caldithrix];c__KSB1;o__GW-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__CM44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	4	0	0	1	0	5	0	0	0	0	13	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72112	51	336	60	0	0	0	0	1	3	159	49	19	35	44	60	180	130	49	151	8	46	22	74	65	60	6	50	41	0	22	46	14	72	41	61	92	205	59	83	24	3	49	55	39	90	50	89	8	6	13	0	28	31	49	32	69	48	4	114	13	208	277	0	84	38	93	29	32	3	28	236	3	60	240	337	0	23	22	23	357	76	33	17	15	30	18	166	10	11	2	23	0	36	34	91	43	55	73	33	33	64	3	13	17	15	17	0	51	1	0	3	4	9	7	12	0	3	0	0	5	104	44	13	17	8	0	2	11	5	1	29	55	3	6	29	10	4	10	12	0	21	18	5	4	32	4	2	30	0	8	10	0	21	4	10	7	78	98	3	3	10	0	17	0	11	2	63	0	13	39	6	9	2	0	0	1	0	0	0	0	1	4	1	0	38	0	4	0	36	0	36	4	1	0	0	0	0	11	9	57	0	0	1	16	1	0	8	0	3	0	13	2	0	0	92	51	5	16	0	0	0	1	1	61	1	4	0	0	3	4	1	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	24	3	9	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__alpinitundrae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	3	1	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	2	0	0	4	0	1	0	0	0	16	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__aquatilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	4	12	7	0	0	49	0	0	0	4	2	2	12	16	4	27	29	7	33	0	5	0	22	22	17	1	9	2	0	6	4	1	3	7	0	5	96	4	9	1	0	0	15	8	27	0	11	0	5	0	0	8	2	6	0	29	18	1	13	0	10	25	0	8	20	16	0	12	0	0	206	4	28	0	18	0	0	7	0	52	14	0	0	0	12	0	80	0	0	5	1	0	17	2	3	3	5	5	11	6	6	0	0	10	1	4	0	14	0	0	3	2	1	0	3	0	0	0	0	3	15	4	4	1	0	0	4	1	0	1	2	0	1	1	5	5	0	1	0	1	8	9	0	2	0	0	0	4	0	0	1	0	0	0	0	0	0	8	0	0	14	0	0	0	0	0	4	0	0	12	2	4	0	0	0	0	0	0	0	0	0	1	0	5	7	11	3	1	6	0	0	0	0	0	0	0	0	0	1	50	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	42	1	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__geothermalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Trueperaceae;g__B-42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	110	77	15	0	0	0	0	19	42	88	26	102	84	30	168	125	34	360	8	72	36	213	93	110	7	42	78	11	38	63	22	65	39	43	81	448	68	155	45	20	13	121	57	124	0	190	9	13	8	4	45	40	56	41	39	92	3	309	13	148	179	110	41	145	139	115	176	2	1	672	2	287	134	499	1	96	40	12	1690	250	14	51	223	62	75	199	19	0	60	69	0	48	41	25	39	29	74	57	22	45	19	25	204	47	37	0	106	28	1	7	72	11	0	13	0	0	1	0	4	149	38	17	58	8	3	5	2	0	4	164	55	33	18	37	53	0	1	5	2	197	75	34	11	54	7	3	27	19	61	21	1	1	0	42	21	0	105	3	6	47	0	14	0	38	5	67	0	0	41	72	0	4	0	2	0	1	0	0	0	1	4	3	0	21	0	46	3	0	2	112	5	2	0	41	185	0	46	1	6	0	0	0	36	0	3	8	3	15	1	22	1	0	1	0	1	4	528	0	2	0	1	1	36	0	1	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	42	1	0	0	0	2	1	5	3	1	0	0	21	0	0	0	0	0	13	0	0	0	1	0	2	9	13	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
