Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
G1CA	0.227	0.000689	447.1	0.883	0.480	10.7	18.7	27101.0	444.0	0.378	0.117	2.93	4.22	1.27
G1CB	0.174	0.00154	599.6	0.940	0.583	22.8	41.6	27089.0	596.0	0.323	0.0599	3.73	5.38	1.62
G1CC	0.113	0.00197	490.7	0.959	0.643	32.3	53.3	27009.0	483.0	0.357	0.0412	3.98	5.74	1.73
G1IA	0.249	0.000448	209.3	0.860	0.467	8.45	12.1	26947.0	207.0	0.327	0.140	2.49	3.59	1.08
G1IB	0.219	0.000752	380.4	0.897	0.508	12.5	20.3	27057.0	376.0	0.424	0.103	3.01	4.35	1.31
G1IC	0.160	0.00173	425.0	0.947	0.636	26.7	46.7	27015.0	423.0	0.252	0.0527	3.84	5.55	1.67
G1P1A	0.248	0.000538	246.1	0.877	0.486	9.78	14.5	26949.0	245.0	0.305	0.123	2.67	3.86	1.16
G1P1B	0.368	0.000746	417.6	0.837	0.498	9.05	20.1	26989.0	416.0	0.247	0.163	3.00	4.33	1.30
G1P1C	0.0783	0.00352	495.7	0.975	0.734	56.6	94.9	26957.0	494.0	0.166	0.0246	4.55	6.57	1.98
G1P2A	0.196	0.000988	375.3	0.916	0.555	15.8	26.7	27052.0	371.0	0.433	0.0838	3.29	4.74	1.43
G1P2B	0.205	0.0011	459.8	0.915	0.552	15.9	29.5	26925.0	458.0	0.255	0.0851	3.38	4.88	1.47
G1P2C	0.135	0.00245	562.2	0.957	0.663	34.5	66.4	27050.0	559.0	0.314	0.043	4.19	6.05	1.82
G1SA	0.303	0.000807	312.0	0.881	0.538	11.8	21.8	26957.0	308.0	0.291	0.119	3.08	4.44	1.34
G1SC	0.128	0.00235	513.9	0.964	0.666	38.5	63.5	27037.0	509.0	0.339	0.0357	4.15	5.99	1.80
G1STA	0.172	0.00123	491.8	0.926	0.566	18.1	33.2	27100.0	488.0	0.384	0.0739	3.50	5.05	1.52
G1STC	0.188	0.00131	425.4	0.929	0.589	19.2	35.3	26867.0	423.0	0.276	0.0709	3.56	5.14	1.55
G2CA	0.247	0.000571	256.0	0.871	0.495	9.72	15.4	27020.0	251.0	0.429	0.129	2.74	3.95	1.19
G2CB	0.271	0.00101	320.8	0.899	0.580	14.6	27.3	27013.0	300.0	0.385	0.101	3.31	4.77	1.44
G2CC	0.239	0.000757	347.8	0.887	0.518	11.8	20.5	27057.0	339.0	0.432	0.113	3.02	4.36	1.31
G2IA	0.256	0.000288	100.0	0.836	0.451	6.58	7.75	26967.0	94.0	0.400	0.164	2.05	2.95	0.890
G2IB	0.141	0.00134	364.9	0.943	0.610	22.7	36.3	27047.0	360.0	0.355	0.0573	3.59	5.18	1.56
G2IC	0.370	0.0004	243.0	0.805	0.434	6.46	10.8	26945.0	239.0	0.329	0.195	2.38	3.43	1.03
G2P1A	0.335	0.00112	389.5	0.874	0.571	13.0	30.1	26960.0	388.0	0.234	0.126	3.40	4.91	1.48
G2P1B	0.194	0.00107	412.1	0.910	0.560	15.4	28.9	27026.0	408.0	0.364	0.0897	3.36	4.85	1.46
G2P1C	0.229	0.000699	271.7	0.883	0.524	11.0	18.8	26944.0	270.0	0.273	0.117	2.94	4.24	1.28
G2P2A	0.178	0.00149	283.8	0.943	0.656	24.4	40.1	26954.0	279.0	0.254	0.0572	3.69	5.33	1.60
G2P2B	0.125	0.00143	297.4	0.946	0.642	24.3	38.5	26915.0	295.0	0.267	0.0538	3.65	5.27	1.59
G2P2C	0.186	0.000882	263.4	0.915	0.569	15.1	23.7	26883.0	260.0	0.299	0.0849	3.17	4.57	1.37
G2SA	0.251	0.000453	219.9	0.840	0.467	7.66	12.2	27028.0	214.0	0.414	0.160	2.51	3.61	1.09
G2SC	0.341	0.000523	321.3	0.831	0.461	7.71	14.1	27023.0	312.0	0.399	0.169	2.65	3.82	1.15
G2STA	0.209	0.00111	265.9	0.924	0.610	17.9	29.8	26925.0	262.0	0.266	0.0759	3.39	4.90	1.47
G2STB	0.161	0.00132	383.6	0.937	0.603	21.4	35.7	27061.0	376.0	0.393	0.0627	3.57	5.16	1.55
G2STC	0.276	0.000662	260.5	0.884	0.519	11.3	17.8	26932.0	257.0	0.306	0.116	2.88	4.16	1.25
