bray_curtis	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC
G1CA	0	0.650	0.855	0.839	0.761	0.927	0.736	0.874	0.816	0.592	0.901	0.921	0.881	0.888	0.599	0.941	0.961	0.669	0.758	0.973	0.850	0.565	0.903	0.788	0.704	0.942	0.785	0.786	0.950	0.692	0.941	0.740	0.886
G1CB	0.650	0	0.669	0.868	0.623	0.786	0.826	0.829	0.889	0.795	0.600	0.800	0.901	0.725	0.745	0.792	0.939	0.822	0.789	0.927	0.848	0.721	0.917	0.898	0.784	0.949	0.787	0.749	0.953	0.787	0.920	0.820	0.910
G1CC	0.855	0.669	0	0.945	0.896	0.669	0.918	0.927	0.850	0.920	0.804	0.522	0.932	0.548	0.883	0.777	0.880	0.878	0.869	0.985	0.905	0.894	0.923	0.922	0.896	0.911	0.831	0.842	0.899	0.907	0.912	0.905	0.916
G1IA	0.839	0.868	0.945	0	0.817	0.953	0.811	0.731	0.928	0.909	0.950	0.967	0.927	0.945	0.908	0.962	0.971	0.934	0.963	0.919	0.917	0.947	0.954	0.936	0.941	0.954	0.925	0.898	0.961	0.931	0.973	0.953	0.972
G1IB	0.761	0.623	0.896	0.817	0	0.942	0.839	0.814	0.928	0.856	0.895	0.963	0.923	0.912	0.827	0.953	0.975	0.921	0.914	0.936	0.872	0.801	0.935	0.921	0.827	0.962	0.885	0.758	0.967	0.815	0.964	0.932	0.956
G1IC	0.927	0.786	0.669	0.953	0.942	0	0.963	0.944	0.761	0.962	0.831	0.648	0.958	0.709	0.895	0.838	0.914	0.934	0.931	0.986	0.903	0.964	0.905	0.916	0.954	0.907	0.917	0.902	0.942	0.958	0.929	0.949	0.974
G1P1A	0.736	0.826	0.918	0.811	0.839	0.963	0	0.652	0.927	0.755	0.910	0.962	0.907	0.944	0.749	0.966	0.977	0.879	0.878	0.953	0.911	0.873	0.916	0.905	0.824	0.952	0.849	0.837	0.956	0.901	0.961	0.896	0.950
G1P1B	0.874	0.829	0.927	0.731	0.814	0.944	0.652	0	0.895	0.838	0.919	0.956	0.923	0.936	0.861	0.917	0.975	0.937	0.931	0.933	0.903	0.918	0.918	0.914	0.890	0.947	0.911	0.872	0.953	0.915	0.959	0.937	0.958
G1P1C	0.816	0.889	0.850	0.928	0.928	0.761	0.927	0.895	0	0.881	0.918	0.813	0.934	0.861	0.883	0.918	0.964	0.879	0.934	0.979	0.896	0.892	0.889	0.810	0.937	0.892	0.906	0.932	0.952	0.873	0.953	0.929	0.955
G1P2A	0.592	0.795	0.920	0.909	0.856	0.962	0.755	0.838	0.881	0	0.901	0.951	0.877	0.932	0.538	0.967	0.944	0.581	0.666	0.987	0.912	0.506	0.878	0.812	0.525	0.956	0.761	0.805	0.954	0.764	0.936	0.718	0.920
