SampleID	group	site1	site2	time
G1CA	G1	C	IC	201803
G1CB	G1	C	IC	201804
G1CC	G1	C	IC	201805
G1IA	G1	I	IC	201803
G1IB	G1	I	IC	201804
G1IC	G1	I	IC	201805
G1P1A	G1	P1	P	201803
G1P1B	G1	P1	P	201804
G1P1C	G1	P1	P	201805
G1P2A	G1	P2	P	201803
G1P2B	G1	P2	P	201804
G1P2C	G1	P2	P	201805
G1SA	G1	S	SST	201803
G1SC	G1	S	SST	201805
G1STA	G1	ST	SST	201803
G1STC	G1	ST	SST	201805
G2CA	G2	C	IC	201710
G2CB	G2	C	IC	201711
G2CC	G2	C	IC	201712
G2IA	G2	I	IC	201710
G2IB	G2	I	IC	201711
G2IC	G2	I	IC	201712
G2P1A	G2	P1	P	201710
G2P1B	G2	P1	P	201711
G2P1C	G2	P1	P	201712
G2P2A	G2	P2	P	201710
G2P2B	G2	P2	P	201711
G2P2C	G2	P2	P	201712
G2SA	G2	S	SST	201710
G2SC	G2	S	SST	201712
G2STA	G2	ST	SST	201710
G2STB	G2	ST	SST	201711
G2STC	G2	ST	SST	201712
