Genus	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC	All
Unassigned	1.47	14.6	15.8	1.45	0.488	14.6	0.802	1.68	6.94	5.43	30.4	18.7	0.482	20.6	1.23	36.2	6.59	0.503	2.72	0.337	1.24	0.783	2.86	5.66	0.0742	3.81	0.215	0.766	0.503	0.862	27.8	8.79	5.24	15.9
Pseudomonas	20.1	15.1	29.7	31.9	3.77	20.1	7.59	2.37	5.16	28.2	1.56	19.4	50.2	13.2	21.6	3.83	32.7	44.5	27.8	0.0111	26.2	24.3	9.69	10	25.3	13.2	48.1	16.9	9.19	3.51	10.1	28	8.03	6.9
Acinetobacter	16.9	19.5	7.93	3.24	13.3	29.8	17.5	2.43	5.44	4.69	1.27	5.63	1.54	6	17.7	2.96	22.1	7.04	5.11	0.00742	17.6	13	12.4	25	2.95	2.56	7.44	12.7	2.03	23.4	4.95	2.51	0.0743	3.6
Flavobacterium	0.0258	0.0258	0.2	0	0.0111	2.9	0.0816	0.0259	5.69	0.237	0.052	0.0665	11.5	0.399	15.3	0.949	0.0185	0.0703	0.122	16.4	9.73	0.0297	2.52	0.226	0.0965	3.62	0.0483	0.524	4.93	2.07	0.995	0.048	0.0223	3.6
Massilia	0.0111	0.0111	0.148	0.0557	0.0111	1.11	0.0928	0.0556	2.16	2.45	0	0.174	2.1	0.207	0.111	0.0186	0.0037	0.0037	0.0222	0	0	0.0186	0.189	0.0111	0.572	0.167	0.00372	0	0.181	1.32	0.238	0	0	3.4
Sphingobacterium	11.2	1.1	2.12	0.00742	0.085	6.79	0.289	0.182	9.53	12.8	1.02	1.62	4.8	7.96	1.36	1.27	0.0222	12.7	1.11	0	0.747	9.56	2.79	21.1	0.976	0.508	1.92	0.156	1.2	34.1	0.171	2.47	2.55	3.4
Paenibacillus	0.151	0.0628	1.69	0.00371	0.728	1.21	0.0631	0.333	1.9	1.41	0.0706	0.906	0.0185	0.688	0.483	0.0261	1.5	2.11	0.802	0.0371	0.0148	0.182	0.286	0.0296	0.163	3.23	4.72	0.312	0	0.0111	0.791	10.2	0.0111	2.7
Pedobacter	0.114	0.111	1.07	0.00371	0.0037	0.307	0.00742	0.0111	9.2	0.34	0.0186	4.15	8.45	1.01	1.8	0.104	0	0.0962	0.0148	0	6.26	0	4.3	1.87	0.0408	5.1	0.36	0.0521	0	1.25	0.0149	0.0185	0.00371	2.7
Clostridium_sensu_stricto	0.00369	0.0369	14.7	0	0	1.29	0.0223	0.0815	0.278	0.00739	0.0334	9	0.0185	4.61	0.00738	21.8	0	0	0.0148	4.61	0.00739	0.0111	0.631	0.0148	0.0334	0.0186	0.0149	0.00372	0.0037	0	0.052	0.0111	0.249	2.6
Chryseobacterium	7.83	0.502	0.441	0.0148	0.00739	3.66	1.08	0.445	4.79	0.54	1.65	7.02	0.0556	2.63	1.25	0.0372	0.0074	4.9	6.83	0	0.0924	1.05	2.78	4.14	16.5	15.9	11.8	18.7	18.8	8.03	1.01	0.724	0.0371	2.3
