Phylum	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC	All
Proteobacteria	44.9	61.3	61.1	45	21.1	77.1	30.6	26.2	44.9	36.5	35.6	46.6	71.8	52.1	49.6	57.6	88	68.1	57.1	70.6	74.9	41.6	72	61.3	33.6	63.3	59.5	39.2	47.1	49.7	77.2	72	44.6	42.8
Firmicutes	1.37	24.5	21.2	2.1	63.2	4.69	2.09	6.6	11.3	36.6	49.4	23.9	0.768	14.2	15.2	30.6	5.74	6.8	28.5	4.98	0.303	45.6	6.89	0.844	40.7	3.61	13	28.3	0.178	1.92	19.2	22.7	50.9	21.1
Bacteroidetes	19.5	1.81	15.1	0.0854	0.144	14.9	1.47	0.741	33.3	14	2.9	27.1	25.2	29.3	21	2.52	5.54	20.5	9.61	16.4	16.9	10.7	15.3	27.8	18.9	29.3	18.6	22.7	50.2	46.4	2.8	3.52	2.64	15.1
Actinobacteria	33.4	11.2	1.44	52.1	15.2	2.33	64.9	64.4	9.27	11.9	11.2	1.19	1.75	3.23	13.7	8.64	0.474	4.61	4.45	7.65	7.42	1.49	4.4	6.39	6.49	3.33	8.94	9.23	2.05	1.51	0.427	1.17	1.25	14.1
Unassigned	0.827	1.1	1.17	0.709	0.233	1.01	0.62	1.07	0.772	0.983	0.858	1.11	0.371	1.13	0.446	0.592	0.2	0.0185	0.288	0.323	0.455	0.672	1.05	3.61	0.00371	0.211	0	0.48	0.451	0.529	0.316	0.554	0.368	5.2
Cyanobacteria	0.00738	0.0221	0.0037	0.0111	0.0517	0.0037	0.026	0.141	0.111	0.00739	0.0854	0.0037	0.0148	0.0037	0.0148	0.0149	0.0037	0.0037	0.0185	0	0.0037	0.00371	0.0927	0	0.0297	0.00742	0	0.00744	0	0	0.0371	0.0296	0.16	0.6
Candidatus_Saccharibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00372	0	0	0	0	0	0	0.145	0.0111	0	0	0	0.093	0	0	0	0	0	0.3
Deinococcus-Thermus	0	0.00369	0	0.00371	0.0185	0	0.33	0.741	0.108	0.0185	0	0	0	0	0	0	0	0	0.0185	0	0.0037	0	0.0111	0.0148	0.174	0.304	0	0.0893	0	0.0074	0	0	0.00743	0.3
Verrucomicrobia	0.00369	0.0258	0	0	0	0	0.0186	0.0778	0.312	0	0	0	0.00371	0.0037	0.0111	0.00372	0.0037	0	0.0296	0.00371	0	0.0148	0.00742	0.0037	0.0148	0.0148	0	0.0149	0	0	0	0	0	0.3
Chlamydiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0445	0	0	0	0	0	0	0	0	0	0	0.1
Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0.126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
