Sample	richness	shannon	simpson	chao1
G1CA	444	2.93	0.117	447.1
G1CB	596	3.73	0.0599	599.6
G1CC	483	3.98	0.0412	490.7
G1IA	207	2.49	0.14	209.3
G1IB	376	3.01	0.103	380.4
G1IC	423	3.84	0.0527	425
G1P1A	245	2.67	0.123	246.1
G1P1B	416	3	0.163	417.6
G1P1C	494	4.55	0.0246	495.7
G1P2A	371	3.29	0.0838	375.3
G1P2B	458	3.38	0.0851	459.8
G1P2C	559	4.19	0.043	562.2
G1SA	308	3.08	0.119	312
G1SC	509	4.15	0.0357	513.9
G1STA	488	3.5	0.0739	491.8
G1STC	423	3.56	0.0709	425.4
G2CA	251	2.74	0.129	256
G2CB	300	3.31	0.101	320.8
G2CC	339	3.02	0.113	347.8
G2IA	94	2.05	0.164	100
G2IB	360	3.59	0.0573	364.9
G2IC	239	2.38	0.195	243
G2P1A	388	3.4	0.126	389.5
G2P1B	408	3.36	0.0897	412.1
G2P1C	270	2.94	0.117	271.7
G2P2A	279	3.69	0.0572	283.8
G2P2B	295	3.65	0.0538	297.4
G2P2C	260	3.17	0.0849	263.4
G2SA	214	2.51	0.16	219.9
G2SC	312	2.65	0.169	321.3
G2STA	262	3.39	0.0759	265.9
G2STB	376	3.57	0.0627	383.6
G2STC	257	2.88	0.116	260.5
