bray_curtis	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC
G1CA	0	0.649	0.859	0.849	0.768	0.929	0.736	0.879	0.827	0.630	0.899	0.928	0.882	0.888	0.610	0.936	0.949	0.690	0.768	0.975	0.836	0.570	0.908	0.804	0.718	0.948	0.788	0.782	0.951	0.709	0.937	0.750	0.884
G1CB	0.649	0	0.658	0.872	0.636	0.787	0.826	0.833	0.896	0.802	0.611	0.798	0.902	0.719	0.744	0.782	0.924	0.813	0.771	0.932	0.842	0.710	0.918	0.904	0.786	0.951	0.783	0.743	0.954	0.795	0.909	0.810	0.895
G1CC	0.859	0.658	0	0.946	0.898	0.669	0.919	0.930	0.853	0.922	0.807	0.512	0.933	0.537	0.884	0.765	0.877	0.870	0.855	0.986	0.904	0.894	0.927	0.927	0.893	0.923	0.839	0.842	0.900	0.908	0.903	0.895	0.907
G1IA	0.849	0.872	0.946	0	0.825	0.954	0.821	0.740	0.931	0.917	0.950	0.969	0.926	0.948	0.907	0.962	0.971	0.934	0.960	0.918	0.922	0.946	0.953	0.937	0.938	0.953	0.921	0.895	0.959	0.938	0.972	0.953	0.971
G1IB	0.768	0.636	0.898	0.825	0	0.943	0.841	0.818	0.933	0.853	0.894	0.965	0.923	0.915	0.829	0.951	0.973	0.919	0.912	0.938	0.877	0.805	0.935	0.926	0.829	0.962	0.884	0.765	0.966	0.820	0.961	0.934	0.956
G1IC	0.929	0.787	0.669	0.954	0.943	0	0.961	0.948	0.756	0.963	0.833	0.651	0.957	0.709	0.896	0.827	0.915	0.927	0.923	0.987	0.903	0.965	0.915	0.921	0.954	0.925	0.914	0.901	0.944	0.959	0.924	0.940	0.964
G1P1A	0.736	0.826	0.919	0.821	0.841	0.961	0	0.660	0.931	0.771	0.910	0.963	0.908	0.943	0.755	0.964	0.975	0.878	0.878	0.953	0.910	0.871	0.915	0.910	0.823	0.951	0.846	0.833	0.955	0.899	0.958	0.895	0.950
G1P1B	0.879	0.833	0.930	0.740	0.818	0.948	0.660	0	0.901	0.848	0.918	0.958	0.926	0.940	0.864	0.917	0.976	0.939	0.931	0.932	0.909	0.920	0.919	0.919	0.890	0.948	0.910	0.873	0.954	0.917	0.958	0.938	0.956
G1P1C	0.827	0.896	0.853	0.931	0.933	0.756	0.931	0.901	0	0.890	0.917	0.815	0.937	0.866	0.891	0.916	0.966	0.885	0.937	0.980	0.905	0.897	0.896	0.830	0.939	0.911	0.910	0.937	0.955	0.881	0.952	0.933	0.954
G1P2A	0.630	0.802	0.922	0.917	0.853	0.963	0.771	0.848	0.890	0	0.905	0.954	0.879	0.935	0.559	0.965	0.942	0.621	0.692	0.986	0.910	0.547	0.884	0.835	0.549	0.955	0.742	0.788	0.950	0.746	0.933	0.734	0.921
G1P2B	0.899	0.611	0.807	0.950	0.894	0.833	0.910	0.918	0.917	0.905	0	0.785	0.966	0.741	0.891	0.741	0.933	0.923	0.780	0.989	0.950	0.931	0.933	0.941	0.871	0.960	0.909	0.908	0.964	0.950	0.918	0.870	0.926
G1P2C	0.928	0.798	0.512	0.969	0.965	0.651	0.963	0.958	0.815	0.954	0.785	0	0.967	0.563	0.918	0.802	0.874	0.873	0.877	0.974	0.926	0.945	0.916	0.911	0.928	0.893	0.843	0.913	0.826	0.941	0.911	0.893	0.932
