CC	PC	SC	MeanDecreaseAccuracy	MeanDecreaseGini
Dietzia	0.0219166666666667	0.00791666666666667	0.0065	0.0105821428571429	0.277535287261758
Nocardia	0.0189166666666667	0.0128333333333333	-0.00141666666666667	0.00909880952380953	0.407951682304624
Mycobacterium	0.0140833333333333	0.00666666666666667	0.004	0.00815119047619048	0.18178961757197
Clostridium_XlVa	0.0129166666666667	-0.00101666666666667	0.00141666666666667	0.00420198412698413	0.311120145867205
Blautia	0.00616666666666667	0.00211666666666667	0.0211666666666667	0.00841706349206349	0.266749287966935
Sphingobium	0.00608333333333333	0.0075	-0.00383333333333333	0.00261428571428571	0.17164322572852
Planomicrobium	0.00583333333333333	0.0115833333333333	0.00158333333333333	0.00619484126984127	0.243923176170235
Shinella	0.00558333333333333	0.00933333333333333	-0.00133333333333333	0.00496309523809524	0.181009470268294
Rhodococcus	0.005	0.00333333333333333	-0.000333333333333333	0.00219325396825397	0.136835517750224
Massilia	0.00483333333333333	-0.00205	-0.003	0.000163888888888889	0.157575402701873
Arthrobacter	0.00425	0.00283333333333333	0.002	0.00338452380952381	0.165544911950794
Knoellia	0.00408333333333333	0.0134166666666667	0.00266666666666667	0.00569642857142857	0.244790621796504
Chryseobacterium	0.00358333333333333	0.002	-0.00516666666666667	0.000114285714285714	0.1548419766508
Rhizobium	0.00308333333333333	0.00333333333333333	-0.001	0.00120079365079365	0.1072857234269
Roseomonas	0.00283333333333333	0.00383333333333333	0	0.00231071428571429	0.0927741676624029
Paracoccus	0.00271666666666667	0.0131666666666667	0.002	0.00473333333333333	0.168339309383427
Cereibacter	0.00233333333333333	0.00875	-0.001	0.00297142857142857	0.150115181876947
Brachybacterium	0.00208333333333333	7e-04	0.0045	0.00140833333333333	0.155354879434291
Planococcaceae_incertae_sedis	0.002	0.000333333333333333	0	0.000452380952380952	0.0318878301437125
Acinetobacter	0.00175	0.00025	0.0025	0.00104642857142857	0.106406916612799
Ochrobactrum	0.00158333333333333	-0.0015	-0.002	-0.000407142857142857	0.0449887785417197
Micrococcus	0.0015	-5e-04	-5e-04	-3.01587301587301e-05	0.0292944953739071
Faecalibacterium	0.0015	-0.00108333333333333	0.00116666666666667	0.000123809523809524	0.126352119775649
Erwinia	0.00141666666666667	0	-0.000666666666666667	0.000273809523809524	0.0816633216456746
Delftia	0.00133333333333333	-0.00125	-0.00216666666666667	-0.000795238095238095	0.113729106514401
Novosphingobium	0.00133333333333333	5e-04	-5e-04	0.000603571428571429	0.0536648077412783
Microbacterium	0.00116666666666667	0.007	0.000416666666666667	0.00220595238095238	0.143750674815381
Psychrobacter	0.00116666666666667	-0.000666666666666667	0.002	0.000728571428571429	0.0450926436308789
Chlorophyta	0.00116666666666667	-0.00133333333333333	0.00283333333333333	0.000555952380952381	0.081083874295639
Alkanindiges	0.001	-0.00116666666666667	-0.000666666666666667	-0.000266666666666667	0.0337525311290017
Plantibacter	0.001	0.003	-0.00291666666666667	0.000841666666666667	0.106956323088676
Phenylobacterium	0.00075	0	-0.000666666666666667	2.38095238095238e-05	0.0324580031080031
Desemzia	0.000666666666666667	0	0	1.38888888888889e-05	0.0328815155432803
Paenibacillus	0.000666666666666667	5.55111512312578e-20	0.00266666666666667	0.00125833333333333	0.078445093142152
Bacillus	0.000666666666666667	0.000833333333333333	0.00333333333333333	0.00180793650793651	0.0695649497561262
Lactococcus	0.000666666666666667	0.000166666666666667	-0.001	0.000160714285714286	0.0482079289991055
