Genus	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC	All
Unassigned	2.03	16.2	18.9	1.62	4.06	19.8	1.62	1.8	8.84	7.89	32.3	22.9	0.725	22.7	1.51	37.1	9.1	3.96	7.98	1.51	1.18	1.6	2.83	5	1.84	2.04	1.5	1.25	2.84	2.16	31.1	14.5	8.85	18.0
Pseudomonas	19.8	15.1	28.6	31.3	3.77	18.2	7.76	2.36	5.12	24.5	1.66	18.8	48.5	12.7	21.3	3.97	31	42.5	27	0.01	26	24.4	9.77	9.78	25.1	12.7	44.9	16.6	9.25	3.75	10	26.7	8.01	7.3
Acinetobacter	17.8	20.1	8.69	4.08	13.1	28.1	17.8	2.41	5.27	5.05	1.32	5.8	1.87	6.32	19.1	3.08	23.5	8.9	5.94	0.00668	20	15	12.6	26.2	3.6	2.62	9.02	13.9	2.24	22.4	5.32	2.93	0.11	5.5
Flavobacterium	3.49	0.0698	0.183	0	0.0133	2.6	0.0835	0.0301	5.56	0.247	0.0631	0.12	13.6	0.419	14.5	1.01	0.02	0.14	0.12	16.2	9.73	0.0301	2.61	0.816	0.107	4	0.295	0.548	5.62	2.67	0.981	0.0632	0.0332	4.8
Sphingobacterium	10.4	1.02	2.26	0.00669	0.0799	6.3	0.284	0.18	9.33	10.9	1.04	1.53	4.84	9.12	1.3	1.3	0.02	11.4	1.01	0	0.768	9.05	2.81	20.3	0.936	0.491	1.77	0.166	1.76	32	0.18	2.32	2.5	3.8
Massilia	0.0166	0.00997	0.167	0.0635	0.00998	1.04	0.0969	0.0568	2.09	2.52	0.00664	0.163	2.08	0.2	0.136	0.0366	0.00333	0.00333	0.0233	0	0	0.0234	0.18	0.00999	0.598	0.167	0.00332	0.0133	0.173	1.26	0.239	0.00333	0.00664	2.9
Pedobacter	0.12	0.103	1.19	0.00334	0.00333	0.28	0.00668	0.01	8.96	0.338	0.0365	4.81	8.17	1.25	1.92	0.126	0	0.113	0.0133	0	5.94	0	4.31	2.03	0.0401	4.92	0.428	0.0598	0	1.55	0.0166	0.0233	0.0133	2.7
Chryseobacterium	7.14	0.469	0.396	0.0134	0.00665	5.13	1.07	0.441	5.05	0.451	1.62	6.49	0.0535	2.43	1.17	0.0565	0.00666	4.42	6.15	0	0.0865	1	2.74	3.92	15.8	15.2	10.8	17.5	17.7	7.43	0.974	0.675	0.0531	2.4
Clostridium_sensu_stricto	0.00332	0.0332	13.3	0	0	1.15	0.0267	0.0801	0.264	0.00334	0.0332	8.16	0.0167	4.25	0.00664	21	0	0	0.0133	4.54	0.00665	0.01	0.625	0.0133	0.0301	0.0167	0.0232	0.00665	0.00333	0	0.0599	0.00998	0.246	2.3
Paenibacillus	0.136	0.0598	1.54	0.00334	0.679	1.08	0.0635	0.331	1.83	1.18	0.083	0.822	0.0167	0.642	0.445	0.0299	1.36	1.89	0.722	0.0367	0.0133	0.167	0.287	0.0266	0.154	3.1	4.39	0.312	0	0.01	0.762	9.49	0.0199	2.3
Microbacterium	1.49	1.06	0.32	25.1	6.36	0.566	9.51	45.3	1.16	0.655	0.382	0.0532	0.444	0.359	1.14	0.269	0.0366	0.07	0.0466	7.16	0.546	0.0769	0.829	0.879	0.361	1.39	0.369	1.13	0.217	0.4	0.0432	0.203	0.176	2.0
Staphylococcus	0.0598	11.6	0.06	0.331	38.1	0.646	0.17	0.735	0.0635	0.234	3.16	0.492	0.0501	0.0299	0.339	0.136	0.0233	0.103	0.219	0.02	0.0466	0.692	0.0234	0.0167	0.201	0.0134	0.0996	0.588	0.0266	0.00333	0.0133	0.0965	0.123	1.6
Brevundimonas	0.947	5.56	1.21	4.26	2.52	0.916	1.18	2.82	1.76	0.0568	0.129	0.0765	8.12	0.506	7.27	1.5	0.0999	0.0466	0.113	12.5	10.6	0.712	0.939	10.3	0.903	6.34	0.468	6.54	24.3	16.2	0.565	0.133	0.11	1.6
Arthrobacter	21	2.9	0.0666	1.5	3.57	0.0766	53.3	12.4	2.64	19.1	4.42	0.0732	0.715	0.17	10	0.0997	0.25	0.906	0.665	0.277	1.34	0.819	1.51	0.946	4.53	0.544	4.23	3.22	0.383	4.05	0.106	0.306	0.103	1.4
Rhizobium	0.578	0.233	0.09	0.0134	0.0133	0.526	0.0267	0.11	3.64	0.0435	0.129	0.0299	0.0234	0.136	0.455	0.246	0.00666	0.0233	0.0133	25.2	0.858	0.0134	33.6	1.96	0.0301	26.8	0.0299	0.386	0.00333	0.23	0.0233	0.0466	0.0664	1.3
Clostridium_XlVa	0.0166	0.00332	0.463	0.00669	0.00333	0.153	0	0.0234	0.00334	0.01	0.0232	2.43	0.00334	0.0998	0.00664	0.608	0.00333	0.00666	0.00665	0	0.00333	0	0.0167	0.0233	0	0.00334	0.272	0.0133	0.00666	0.01	15.9	0.472	0.00996	1.3
Stenotrophomonas	0.93	0.708	0.07	5.15	0.506	0.133	0.0234	0.658	0.154	0.0401	0.146	0.0366	1.02	0.709	0.193	0.678	0.606	0.297	0.00998	17.8	0.961	0.0936	0.231	1.58	0.267	1.66	0.0797	1.31	0.343	0.333	0.476	0.223	0.0664	1.3
Devosia	0.123	0.0698	0.02	0	0.0166	0.21	0	0.0234	9.97	0.0134	0.0597	0.00665	0.15	0.0133	0.11	0.153	0	0	0.00998	0	0.236	0	0.17	0.879	0	1.62	0	0.00997	0	0.05	0.0133	0.00998	0.0365	1.1
Bacillus	0.0199	0.146	0.12	0.00669	15	0.506	0.0167	0.23	0.839	0.0268	0.823	0.413	0.104	0.0732	0.0166	0.0366	0.00666	0.02	0.0299	0.0601	0.00998	0.0134	0.0368	0.00666	0.01	0.0468	0.166	0.319	0.00333	0.00333	0.0266	0.0266	0.0199	1.1
Janthinobacterium	0.0864	0.0233	0.0167	0.0468	0.02	0	0.00334	0.117	0.776	0.0502	0.0133	0.0233	0.809	0.00665	0.0432	0.00332	0.00666	12.7	11.3	0	0.18	2.12	0	0	3.09	0	0.89	0.00332	5.62	1.54	2.1	1.01	0.498	1.1
Nocardiopsis	0.0199	2.28	0.157	0.00334	0.699	0.11	0	3.91	0.572	0	2.29	0.153	0.0267	0.269	0.0166	7.45	0	0.00333	0.0333	0	0	0.00334	0	0.00666	0.0201	0	0.0465	0.0233	0	0.00333	0.0133	0.00665	0.249	1.0
Exiguobacterium	0.728	2.59	0.1	0.772	6.44	0.0599	1.08	1.47	0.411	18	1.08	0.216	0.0869	0.0699	12.5	0.0332	0.00666	2.12	6.34	0.00334	0.0599	40.7	2.83	0.193	33.7	0.187	6.05	23.6	0.00999	1.61	0.0166	4.37	0	0.9
Lactobacillus	0.0166	0.0798	0.0167	0.00669	0.0166	0.00333	0.0367	0.124	0.0836	0.00334	0.0266	0.02	0.01	0.0133	0.0199	0.838	0.0133	0.00333	0.0299	0.01	0.00998	0.0435	0.0334	0.03	0.0134	0.0234	0.00996	0.0199	0.02	0.00666	0.0133	0.0133	0.0166	0.9
Pantoea	0.0399	0.857	0.2	0.00334	0.0765	0.243	0.0534	0.0434	0.157	0.371	0.402	0.173	0.0134	0.233	0.0731	0.186	0.396	0.1	0.213	0	0.126	0.01	0	0.00333	0.00334	0.568	0.0631	0.0133	0	0	1.68	1.46	0.518	0.8
Arcticibacter	0.173	0.0133	10.3	0.0167	0.00333	1.07	0	0	0.197	0.00334	0.0631	12.9	0	16.6	0.0199	0.0199	5.05	2.46	1.36	0	0.00665	0.01	0.501	0.263	1.28	3.56	4.16	3.06	24.2	0.0833	0.555	0.213	0.00664	0.8
Enterococcus	0	0.12	0.493	0.00334	0.0299	0.186	0.0134	0.0401	0.0334	0	0.0597	0.792	0	2.03	0.00332	5.5	0.00666	0.01	0.0166	0.00334	0	0.0535	0.0201	0.04	0.00334	0.01	0	0.00332	0.0133	0	1.02	0.0299	48.6	0.8
Brachybacterium	0.439	1.28	0	0.0769	0.416	0.0133	0.0134	0.0801	0.00669	0.171	2.54	0.0333	0.14	0.0133	0.219	0.00332	0.0133	0.0133	0.0233	0	0.0333	0.114	0.184	0.00666	0.191	0	0.136	0.216	0	0.00333	0.00665	0.0133	0.0232	0.7
Brevibacterium	0.136	0.206	0	0.0501	0.922	0.00999	0.00334	0.0367	0.00334	0.0301	0.202	0.0233	0	0	0.0266	0	0.00333	0.0333	0.0366	0.00334	0.0133	0.0836	0.0969	0	0.0735	0.00334	0.0266	0.166	0	0.00666	0.0133	0.0133	0.00664	0.7
Methylobacterium	0.00997	0.0665	0.0366	0.0468	0.0566	0.02	0.207	1.56	0.555	0.01	0.329	0.0133	0.0835	0.02	0.00997	0.0266	0	0.0133	0.0133	0.00668	0.11	0.01	0.00334	0.00999	0.0134	0	0.0432	0.0366	0.0266	0.0167	0.00333	0.02	0.0398	0.6
Saccharibacillus	0	0.00997	0.22	0	0	0.113	0.00668	0	0.00669	0.00669	0.00664	0.972	0	4.43	0.00664	0	0	0.0167	0	0	0.00333	0.00669	0	0	0.0802	0	0.0498	0.0432	0	0.00666	0.0166	0.133	0.00996	0.6
Sphingomonas	0.00664	0.0199	0.0466	0.00334	0.00665	0.11	3.31	13.4	0.495	0.00334	0.0332	0.0299	0.2	0.0432	0.106	0.0299	0	0.0133	0.00665	0	0.196	0.01	0.00334	0.00333	0	0.00668	0.0133	0.0199	0.00333	0.01	0.00333	0.0133	0.0232	0.6
Alkanindiges	0.236	0.0432	0.0433	0	0.0166	0.0733	0.0301	0.0468	1.44	0.00334	0.0166	0.00665	0	0.0665	0.724	0.0166	0.00333	0	0.00665	0	0.00333	0	0	0.00666	0.391	0	0	0.439	0	0.54	0	0.00333	0.0133	0.5
Rheinheimera	0	0	0	0	0	0	0	0	0	0	0	0	0.0535	0	0	0	0	0	0	0	0	0	0.378	0	0	1.18	0	0	0	0	0.136	0.00333	0	0.5
Dyadobacter	0	0.00332	0	0	0	0	0	0.0134	0.679	0	0	0	0.324	0	0.00664	0.00332	0	0	0	0	0.0532	0	1.61	0.0766	0	0.1	0.00332	0.00665	0	0.02	0	0.00665	0	0.5
Nocardia	6.67	1.38	0.58	24.7	1.35	1.11	0.598	1.1	3.41	0.0401	0.0365	0.303	0.0535	1.31	1.03	0.273	0.02	0.04	0.0798	0.02	0.0699	0.0267	0.184	2.75	0.107	0.267	0.0896	0.292	0.27	0.17	0.0565	0.0798	0.0731	0.4
Serratia	3.04	0.103	0	0.00334	0.0166	0	0.00334	0.0868	0	0.0401	0.00996	0.0765	0	0.00333	0.551	0.00997	0.593	0.19	0.376	0	0.0299	0.545	0.00668	0.0133	0.0134	0.00668	0.193	0.00332	0.00333	0	0.782	3.35	14.2	0.4
Aeromicrobium	0.0565	0.113	0.00333	0	0.00998	0.02	0	0.00334	0.0669	0.0568	0.0266	0.00333	0	0.00333	0.12	0.0532	0.00333	0	0.00333	0	0.14	0.00334	0.0134	0.00333	0.0167	0	0.00664	0.226	0.00333	0.00333	0	0	0	0.4
Novosphingobium	0.00332	0.00665	0	0.0234	0	0.03	0.0134	0.00668	0.338	0	0.0232	0	0.0167	0.00333	0	0	0	0	0.00333	0	0.00665	0	1.02	0.00333	0	1.81	0.00332	0.00332	0.00333	0.0933	0	0.00333	0.00332	0.4
Psychrobacter	0	0	0	0	0	0	0.204	0.104	0	0.0702	0	0.00665	0	0	0.00997	0	0.00333	0.0367	0.289	0	0.0266	0.0234	0	0	0.0201	0	1.03	0.0798	0	0	0.00998	0.00333	0.00332	0.4
Lactococcus	0	0.00332	0.00666	0.0134	0.0233	0.0133	0	0.02	0	0	0.00996	0.2	0	0	0	1.29	0	0	0.00665	0	0.00333	0.00334	0	0	0	0	0.00332	0	0	0	0	1.81	0.0266	0.4
