Resfam	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC
AAC3	16	45	12	1	103	50	13	360	525	83	19	78.061	21	47	12	128	0	20	90	0	1	51	62	26	45	153	47	26	72	1	38	102	14
AAC3-Ia	75	10	183	0	546.413	24	1	11	64	2	9	82	20	3	9	2	1	0	1	548	2	0	5	0	7	0	0	1	0	0	0	0	0
AAC6-Ia	3	20.333	2	5	184	3	8	19.01	6	81	13	6	0	0	50	66	0	7	216	0	1	373.375	23	1	357	0	22	93	1	16	9	22	36
AAC6-Ib	157	232	107	8	78	14	11	8	9	155	67	20	5	122	458	26	4	419	1077	0	3	880	14	4	524	2	75	219	9	37	27	112	37
AAC6-II	0	2	4	0	27	1	13	15	2	1	2	6	0	41	0	14	1	1	39	0	0	0	4	1	3	9	3	2	0	1	1	8	2
ABCAntibioticEffluxPump	35851.515	23009.046	29699.539	35889.806	83872.507	31561.422	64053.335	254497.863	54653.29	29806.992	36704.372	26474.258	41103.865	33677.265	21018.88	29958.484	31076.611	25518.244	49338.261	64014.389	14135.856	31331.884	71612.973	31811.317	33273.934	77134.764	22685.793	23753.83	65575.67	36136.072	46733.329	24839.58	44445.213
adeA-adeI	6259.862	3382.023	3181.442	2933	1153.009	4108.979	735.996	2755.935	4486.763	7059.747	282.012	1806.89	10934.413	2687.591	5708.583	855.235	3862.381	5665.164	10182.611	5988.692	2220.779	6204.978	5755	4767.725	4299.155	4815.378	3762.483	2800.29	5586.95	6043.529	1691.823	2687.845	1023
adeB	2956.922	2333.189	6475.753	2530.834	607.277	6411.829	588	345.33	4361.288	1572.323	655.916	4865.844	20243.256	4702.516	3182.303	1374.965	1958.126	4013.31	5971.766	7557.128	2282.442	3552.927	6224.907	4813.282	2529.294	8257.626	2870.103	2171.984	4091.732	6493	2667	1364.584	647
adeC-adeK-oprM	19593.376	11575.385	19435.237	10056	2878.12	17749.681	3835.426	15185.954	12736.065	27754.799	4399.171	15579.881	65646.286	16991.033	19779.993	7496.595	20059.174	25640.125	49559.319	20782	11452.826	24868.617	17213.59	13858	19755.082	23491.203	18042.528	15064.21	32556.352	14468.953	17863.162	10965.334	12557.99
adeR	6357.001	3298.819	3705.516	5164	4659	2284.417	1994.012	9254.99	4334.958	8907.26	812.246	2897.814	25566.959	3910.472	5343	1430.562	3864.088	8998.829	14114	9190.999	2015	10710.671	7959.125	3624	7427.439	7130.363	8108.846	4227.001	8921	4579	2366	5180	2827.186
adeS	8224.485	7817.589	10315.223	7439	4052.019	7155.463	2843.198	3210.701	8571.493	8468.882	6714.261	8338.372	20427.02	11118.628	10308.146	9725.06	9246.002	12937.278	26413.514	8717.411	4410.876	14713.012	11298.276	6170.497	10989.535	13951.902	8108.221	7020.167	14961.862	11995.694	14673.03	9983.282	13301.748
ANT	409	316	1211	10	1480	451	15	48	257	183	321.225	1022	43	494	871	166.11	19	620	2019.271	1165	86	1108	121	57	524	217.284	123	621	41	101	131	148	53
APH3	5	37	6	96	77	4	174.264	607.088	8	13	37	7	22	3	2	11	0	3	34	32	0	34	177	24	72	27	2	38	82	18	39	11	16
APH3_double_prime	584	440.23	607	207	1000.161	753.073	1115	3895.997	1041	233	760	604	2489	791	365.116	379.999	520.907	365	824.027	1255	404.844	475.735	1458	665	591.001	1374	520.496	363	1223	476.999	739.001	517	2005.999
APH3_prime	421	391	128	73	34	21	28	58	114	189	14	40	70	61	718	19	37	802	1690	949	126	1090	76	41	576	133	323	270	47	265	24	183	62
APH6	884	298	253	122	258.882	266	1875	1056	662.128	405	149	75	5759	363	184	229	159	589	654.302	2283	305	573	4189	777	451	4751	325	314	298	128	780	1203	8368
baeR	8375.785	7583.987	7299.799	7236.908	4549.677	7662.352	7139.371	13706.589	7172.7	11351.112	5049.957	4979.974	20976.452	8947.957	9700.034	6621.778	12572.705	10556.851	18343.969	10168.568	5041.911	11483.272	10315.292	7255.488	8190.192	10970.908	9232.647	7009.524	11364.895	4731.856	17042.406	8986.207	12056
baeS	19498.086	8117.138	15918.237	8781.998	6581.517	12766.439	8466	15262.318	11121.174	28589.726	2774.131	11855.301	46337.485	13369.361	15744.132	6500.606	18328.956	21908.153	27452.538	18349.75	12239.044	17430.611	22901.514	12199.896	14489.596	24119.718	18413.683	12375.2	25288.642	7708.253	11382.126	10350.599	12559
blaI	2	17	11	1	164	7	6	18	0.5	34	266	45	2	66	9	86	48	41	105	301	0	59	24	20	88	31	39	29	14	13	4	20	144
blaR1	0	3	0	0	1	0	0	1	0	0	0	0	0	0	1	32	0	0	1	0	3	0	37	3	0	0	0	0	0	1	0	0	0
Cfr23RibosomalRNAMethyltransferase	2929.293	2385.62	2772.108	1948	3990.848	2312.043	4316.596	9076.3	3372.084	1175.302	1392.259	2085	5872.509	2796.976	2378.525	2150.455	2154	2751	5161.737	6090	1539.438	3202.444	5913.822	2895.001	2619.187	5628.087	2057.163	2008	5597.012	3899.911	3167.016	1699.237	2958
Chloramphenicol_Acetyltransferase_CAT	3576.321	2314.812	1873.799	1282	5513.1	2475.498	2691.098	7992.946	5067.121	1673.415	1943.271	1509.7	3026	2174	2045.508	1669.942	2901	2298.731	4049.268	5274	1115	2755	6952.638	2988.68	2315.323	7263.149	1662.208	2115.462	4356.205	4501.668	6576.979	2415.999	3395.706
Chloramphenicol_Efflux_Pump	16879.466	9756.71	10682.279	15546.239	18271.462	13005.517	16278	67110.417	11121.027	21392.576	6788.952	8097.741	34552.384	12808.719	13925.455	8764.434	20381.445	15616.107	28185.561	23790.194	5862.648	15380.761	12750.763	10111.903	13516.619	14732.397	12796.489	9501.387	15683.835	6793.801	24667.643	11993.44	17849.209
