Resfam	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC
ABC Transporter	153885.501	96370.374	122404.459	147383.606	270663.778	126085.752	253337.338	946909.416	198967.685	159682.667	120283.215	104991.422	244064.883	134139.55	103323.643	111856.537	142841.78	131502.912	224141.727	297357.975	61253.192	131074.833	313356.232	137679.372	124317.262	302079.629	111111.276	97872.874	213869.938	117802.899	220505.384	122355.779	170291.864
Acetyltransferase	3827.321	2624.145	2181.799	1296	6451.513	2567.498	2737.098	8405.956	5673.121	1995.415	2053.271	1701.761	3072	2387	2574.508	1905.942	2907	2745.731	5472.268	5822	1122	4059.375	7060.638	3020.68	3251.323	7427.149	1809.208	2456.462	4438.205	4556.668	6651.979	2659.999	3484.706
Antibiotic Inactivation	1851.614	515.25	234.725	1685.66	3371	883	1664.443	1600	1519.221	2348.586	745.147	345.395	4605	1013	1540.586	493	1792	1431.916	1112.707	2842	899.79	1125.578	1536.17	2210	1319.802	2429	1774.462	1335	1992.069	2613	1950.364	789.317	1951.504
Beta-Lactamase	12271.483	6211.885	9734.276	12474.085	19336.782	10964.935	8272.295	23617.131	14739.651	12064.47	4033.731	8401.19	15584.077	10618.522	7387.368	5857.496	8542.885	9110.58	13296.443	22476.044	6714.506	6787.904	13717.389	10740.357	5491.67	16218.307	6463.193	4838.911	15644.109	13974.794	13670.367	7036	7776.135
Gene Modulating Resistance	124341.894	77825.742	134182.209	78891.437	132849.464	110010.496	77431.688	274211.59	150019.984	157314.599	47179.573	115447.472	289513.079	129881.192	109875.829	65789.67	127546.797	150933.38	247447.216	195249.583	74839.043	148259.449	169725.516	102197.211	124110.617	194430.509	131573.693	96995.225	277994.655	127384.25	114140.232	89069.964	109029.57
Gylcopeptide Resistance	18007.518	12886.419	15431.843	16217.769	31529.294	14420.264	22421.551	81346.106	17330.398	20328.882	9366.693	12528.747	40828.85	13948.255	15429.986	8816.535	19110.94	18348.622	31138.41	30889.055	7853.161	17983.143	23616.432	15675.1	16971.558	25853.965	17366.484	13391	30029.429	15181.139	20128.273	12035.203	13188.243
MFS Transporter	32216.299	21465.736	24645.47	36805.069	79501.869	24237.622	59104.12	185751.264	31957.667	34576.141	17346.076	20233.794	55349.362	28204.767	24593.638	23974.535	32922.027	33687.889	60751.045	44852.909	11737.997	33452.343	31703.734	19752.805	28942.419	38047.158	24295.209	22245.849	41574.566	20594.785	52451.453	28653.911	39865.014
Nucleotidyltransferase	409	316	1211	10	1480	451	15	48	257	183	321.225	1022	43	494	871	166.11	19	620	2019.271	1165	86	1108	121	57	524	217.284	123	621	41	101	131	148	53
Other	416	65	94	431	109	45	25	105	147	89	55	50	37.571	95	33	57	35	17	34	1	7	31	24	50	34	20	12	26	35	62	264	135	1731
Other Efflux	32125.952	21338.118	25169.137	28456.239	27421.481	22938.397	21460.21	80043.352	24455.478	39401.718	14545.459	19565.817	81594.363	28323.036	30117.601	20246.25	34557.825	38049.831	69402.918	43628.604	12659.042	41216.444	32649.763	20570.139	32264.593	36294.961	29787.904	21137.555	40171.565	23814.495	42452.673	27922.966	34793.223
Phosphotransferase	1981	1167.23	995	498	1399.043	1056.073	3206.264	5656.085	2358.128	895	961	730	8340	1219	1272.116	661.999	724.907	1769	3248.329	4520	845.844	2185.735	5964	1545	1712.001	6460	1209.496	989	1651	892.999	1624.001	2018	10952.999
Quinolone Resistance	10649.128	7496.493	10567.66	7264.09	19918.346	9029.706	16258.354	50176.384	12789.586	7199.11	7430.544	8590.809	13972.568	8667.229	6006.938	5618.071	8406.305	7370.573	13789.802	20660.321	4803.081	8648.051	17495.542	9629.399	8289.743	18930.42	7859.682	7458.041	20893.617	12891.271	14316.617	6826.148	10908.967
RND Antibiotic Efflux	96395.727	54744.318	95682.212	55319.896	31057.829	90416.421	26033.547	104102.419	93435.756	108074.018	26523.816	75790.487	315198.041	100563.436	85154.664	47923.897	105979.593	117934.202	196177.288	183616.675	64327.669	108051.217	141619.486	89702.416	87642.828	168645.684	90390.347	77622.074	210447.019	112592.998	123323.363	66101.421	80310.101
rRNA Methyltransferase	3935.902	3308.62	3456.116	3596.112	8956.911	3154.043	5794.596	19287.002	4546.143	1467.302	2944.375	2610	6330.509	3771.976	2824.525	3253.455	3164	3075.398	6317.871	7727	2030.438	4066.476	8390.807	3577.97	3645.103	8594.014	2547.163	2920	7522.012	4962.212	5129.016	2449.237	4486
Target Protection	11536.438	9725.465	14847.585	7148.427	20374.751	11737.767	14870.179	28397.658	18315.376	4304.642	11847.224	12293.462	10620.231	12516.756	5823.216	8040.723	6855.981	9020.093	18310.129	22656.161	5829.072	9449.076	22379.174	13374.067	13165.615	26668.91	9870.925	9295.768	32741.501	15658.325	14344.559	9822.497	13124.564
