#OTU ID	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC	SA01	SA03	SA04	SA05	SA06	SA07	SA09	SA11	SA12	SA13	SA14	SA15	SA16	SA17	SA18	SA19	SB01	SB02	SB03	SB04	SB05	SB06	SB07	SB08	SB09	SB10	SB11	SB12	SB13	SB15	SB16	SB17	SB18	SB19	SC01	SC02	SC03	SC04	SC05	SC06	SC07	SC08	SC09	SC10	SC11	SC12	SC13	SC14	SC15	SC17	SC18	SC19	SD01	SD02	SD03	SD04	SD05	SD06	SD07	SD08	SD09	SD10	SD11	SD12	SD13	SD14	SD15	SD17	SD18	SD19	FR1	FR2	FR3	FR4	FR5	FR6	GR1	GR2	GR3	GR4	GR5	GR6	HR1	HR2	HR3	HR4	HR5	HR6	SR1	SR02	SR3	SR4	SR5	SR6	F11Frhd	F24Frhd	F32Frhd	M14Frhd	M23Frhd	M32Frhd	M43Frhd	M54Frhd	M63Frhd	F13Plml	F24Plml	F31Plml	M13Plml	M23Plml	M33Plml	M43Plml	M53Plml	M63Plml	F11Indl	F21Indl	F31Indl	F32Indl	M11Indl	M12Indl	M22Indl	M31Indl	M41Indl	AR1	BB2	BF1	BP1	BZ1	CA2	CC1	CF3	CL3	CM1	CO2	CO3	CR1	DF3	GB5	HF2	HI4	HJ2	IE2	IT2	JT1	KP4	LQ2	MD5	MP2	MT1	PE1	PE7	RT1	RT2	SA1	SA2	SB1	SF1	SK1	SK3	SN1	SN3	SP1	SP2	SR2	SV1	SV2	TL3	VC2	F11Plmr	F23Plmr	F32Plmr	M11Plmr	M23Plmr	M33Plmr	M43Plmr	M53Plmr	M64Plmr	F12Indr	F21Indr	F31Indr	F32Indr	M11Indr	M21Indr	M31Indr	M41Indr	M42Indr	F11Fcsp	F11Fcsw	F12Fcsp	F12Fcsw	F13Fcsw	F14Fcsw	F21Fcsp	F21Fcsw	F22Fcsp	F22Fcsw	F23Fcsw	F24Fcsw	F31Fcsp	F31Fcsw	F32Fcsp	F32Fcsw	F33Fcsw	F34Fcsw	M11Fcsp	M11Fcsw	M12Fcsp	M12Fcsw	M13Fcsw	M14Fcsw	M21Fcsp	M21Fcsw	M22Fcsp	M22Fcsw	M23Fcsw	M24Fcsw	M31Fcsp	M31Fcsw	M32Fcsp	M32Fcsw	M33Fcsw	M41Fcsp	M41Fcsw	M42Fcsp	M42Fcsw	M43Fcsw	M44Fcsw	M53Fcsw	M54Fcsw	M63Fcsw	M64Fcsw
1	4598	2393	739	395	764	35	1702	512	25	5309	53	48	1070	91	4651	38	245	7334	6477	1	349	4939	164	66	4632	35	2786	1813	260	304	251	4359	921	135	728	1318	3018	4729	881	686	1047	1444	1728	1362	477	527	1782	896	3615	138	351	282	177	1466	975	665	47	216	43	1035	673	892	901	907	1110	609	1010	775	3811	977	7086	5929	3540	563	103	2524	47	2734	1991	2530	1437	975	856	2179	786	1191	849	616	77	3852	6900	1415	425	1970	300	1180	752	888	406	1480	722	1068	940	1101	1085	1901	20766	3209	17901	2676	3135	1221	11882	97	4866	210	197	4496	3665	4876	3378	9328	11248	9151	13412	12062	8482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	34	512	557	1	0	10	2	8	12	1	798	276	4	1150	8	2828	5557	435	1618	2	7	30	11	6	51	0	248	1	18	3	5625	1602	2227	421	390	93	120	466	415	960	1520	2250	1242	1318	3	9	2	3	1	97	294	131	89	179	814	523	592	360	635	244	1158	1306	341	728	503	412	948	72	255	74	21	11	259	1236	828	448	563	549	154	482	445	301	146	99	18	124	113	103	59	88	107	72	169	627	614	808	770	1918	1770	821	963	1630	304	150	82	92	105	192	123	1103	1112	274	260	9	299	828	617	707	1026	771	1164	51	82	77	35	22	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	89	42	22	5	2	48	44	57	37	6	5	12	1939	17	1459	136	11	10	12	10	1413	181	167	2380	199	1266	125	1130	6742	4350	109	33	23	1404	40	109	3078	2627	4154	3759	4377	3887	2090	2815	59	363	107	79	1985	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	4	0	67	92	243	187	634	974	6	2	1	1	0	0	0	0	1	3	2	1	0	0	2	1	2	0	1	9	4	3	0	0	0	1	1	3	1253	1314	664	31	57	35	1622	1489	254	70	5	89	67	68	0	6	6	3	184	172	138	416	342	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	14	3	1555	4	1	308	0	0	55	1	15	3644	0	3470	5	4	1475	727	407	0	2	3	137	72	352	994	1203	827	6796	25	154	61	2	42	17	8	151	47	79	159	15	105	7	16	1	13	4	6	117	23	61	97	87	148	63	166	43	68	38	83	33	80	60	36	169	52	86	1287	467	383	223	317	147	393	1182	1419	3421	3170	539	19	45	14	0	12	11	1277	685	296	231	335	187	916	966	1277	485	524	1456	178	81	98	590	1201	768	995	728	661	97	166	154	56	66	87	166	190	283	24	26	689	1052	975	717	11	26	45	286	362	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2	1	3	59	2	45	14	11	9	231	2	6	2093	646	52	8	6670	838	450	1	900	24	874	3	4	308	3369	14	1960	15	983	433	3	115	46	2	9	3	391	436	558	1184	343	344	9	13	18	54	139	368	405	172	16	30	39	473	1074	1225	1898	1418	117	551	687	88	607	79	870	18	19	48	15	15	5	440	46	155	286	71	404	15	24	1112	51	37	94	49	19	27	10	13	4	3	26	125	305	214	510	142	84	671	78	114	13	212	246	481	30	453	69	42	13	21	48	7	13	1115	1194	7	39	11	9	774	853	1185	144	109	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2	113	58	3	5	0	0	2	4	43	3358	128	0	128	79	0	138	59	5413	0	6	418	0	0	768	0	130	458	0	1	3	1092	2	21	27	107	947	212	31	30	49	40	89	93	11	35	119	82	410	8	15	9	14	217	83	40	4	7	3	68	31	87	28	81	76	70	38	166	381	52	1627	1052	329	36	17	519	1	302	224	571	393	40	66	372	78	174	38	33	7	668	302	158	44	163	9	32	35	38	8	23	25	8	33	1067	1064	651	14	252	61	46	59	77	181	1263	121	22	12	101	142	120	147	46	34	47	76	69	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	4	0	1	0	2	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	1	4	1	3	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	17	10	1	19	10	0	6683	1864	56	325	9	0	51	3	53	1	1	18	17	3	12	5	110	28	38	3	96	68	1	7	2	5	3	2	48	6	210	67	4	117	153	7	127	155	253	50	28	6	8	2	59	53	12	340	441	113	15	58	3	27	141	15	9	40	20	77	30	0	6	24	93	70	50	57	1	107	1	92	78	35	232	90	7	0	1	60	350	212	14	771	206	130	38	819	369	581	285	759	1585	219	1031	2692	217	417	377	282	42	460	400	478	436	252	412	6	371	297	286	92	160	130	115	2	3	1	38	14	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	361	20	16	602	306	1	3939	186	2	387	1	13	51	2	223	3	1	18	0	0	0	3	0	41	1	0	32	7	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	6	7	13	34	15	1	1	1	1	0	4	2	11	4	26	2	29	10	89	33	16	92	5	10	7	2	24	8	25	7	2	10	7	1	385	879	1423	506	123	101	866	612	145	5	9	24	15	4	38	603	85	564	5	3	6	0	5	1	59	49	111	0	0	1	14	10	0	0	0	0	993	1091	1504	6	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	3	0	5	5264	118	4	0	3	0	1	1	0	1	10	6	0	1	1	0	0	0	1	6	0	2	20	10	0	2	1	0	4	1	0	0	0	0	0	0	1	1	15	0	3	0	1	0	0	2	4	6	1	1	9	4	102	877	769	1211	79	630	13	1	1	13	8	14	9	4	0	1	3	0	1	32	36	1478	132	248	15	143	2	0	14	1	14	6	0	12	3	0	3	12	13	8	2	106	5	2	2	5	1	3	187	142	211	32	676	100	28	19	42	427	222	385	93	79	224	222	157	217	16	18	16	103	100	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
