"","s.G1","s.G2","index","stat","p.value","G1CA","G1CB","G1CC","G1IA","G1IB","G1IC","G1P1A","G1P1B","G1P1C","G1P2A","G1P2B","G1P2C","G1SA","G1SC","G1STA","G1STC","G2CA","G2CB","G2CC","G2IA","G2IB","G2IC","G2P1A","G2P1B","G2P1C","G2P2A","G2P2B","G2P2C","G2SA","G2SC","G2STA","G2STB","G2STC"
"Acidovorax",1,0,1,0.716354374001974,0.01,0,3,8,0,0,1,0,8,61,0,5,1,98,1,0,0,0,1,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0
"Aerococcus",1,0,1,0.910179660630665,0.02,1,1066,9,1,16,0,1,10,1,0,1782,12,4,7,2,1,0,1,7,12,0,1,0,1,0,0,0,0,0,0,132,13,7
"Altererythrobacter",1,0,1,0.5,0.03,0,0,0,0,0,0,1,1,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerovorax",1,0,1,0.559016994374947,0.02,0,1,16,0,0,1,0,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arthrobacter",1,0,1,0.929995623500231,0.03,12319,1625,26,922,1976,23,34831,8054,1650,11526,2576,34,461,84,5796,54,120,403,377,176,738,510,961,466,2855,356,2529,1851,193,1794,59,159,56
"Azospirillum",1,0,1,0.748947614074699,0.01,0,4,13,0,0,717,2,8,687,0,0,6,0,566,0,5,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0,0
"Bacillus",1,0,1,0.978888495393932,0.01,9,80,51,5,8330,154,12,150,531,17,476,204,67,37,7,16,4,8,17,38,4,13,25,3,8,34,99,179,1,1,13,15,8
"Bosea",1,0,1,0.88985280631493,0.02,18,47,9,41,12,1,1,9,74,1,3,0,9,1,0,7,0,0,0,0,19,1,1,1,1,0,0,1,1,1,0,0,0
"Bradyrhizobium",1,0,1,0.891501171449865,0.01,4,3,3,5,0,0,27,326,14,2,15,2,16,1,0,4,0,1,0,0,0,4,1,0,1,1,1,0,0,0,0,0,1
"Camelimonas",1,0,1,0.643343789142841,0.02,2,2,0,0,0,0,0,2,0,23,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Chryseomicrobium",1,0,1,0.647727783911793,0.02,0,2,0,2,0,0,0,27,29,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Citricoccus",1,0,1,0.811166901968218,0.03,4,20,0,4,10,3,5,4,33,6,65,0,16,0,5,0,0,0,1,0,5,4,0,1,11,0,0,3,1,0,0,0,0
"Clostridium_XlVb",1,0,1,0.705159763568837,0.02,2,0,130,0,0,1,0,12,5,0,1,699,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
"Cohnella",1,0,1,0.707027642206872,0.01,0,2,1,0,0,2,0,1,4195,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Enhydrobacter",1,0,1,0.917137016523577,0.04,2,1550,1246,5,103,97,0,52,111,1,12,169,4,268,0,4,12,1,101,4,0,2,1,0,3,1,0,22,1,0,2,1,4
"Escherichia/Shigella",1,0,1,0.89290286772176,0.04,2,8,44,0,0,7,1,37,35,6,41,493,1,41,2,64,7,0,5,0,6,4,5,9,0,3,3,4,0,0,21,12,2
"Herbaspirillum",1,0,1,0.705314933437958,0.01,0,5,19,0,0,0,0,0,12,0,0,1,1,118,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Janthinobacterium",0,1,2,0.911277779225802,0.03,45,8,5,35,11,0,3,77,486,40,4,10,519,3,23,1,3,5656,6460,0,99,1299,1,0,1946,2,530,1,2849,681,1221,537,295
"Klebsiella",1,0,1,0.559016994374947,0.03,0,3,14,0,0,0,0,0,0,0,1,0,0,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luteimonas",1,0,1,0.763789649278449,0.01,18,15,0,0,0,0,0,57,4,13,71,0,12,5,64,18,0,0,0,0,4,0,11,3,0,2,0,0,0,0,1,0,0
"Luteococcus",0,1,2,0.594088525786005,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,58,0,0,0,0,17,0,136,36,0,0,0,0,1
"Lysinibacillus",1,0,1,0.661437827766148,0.01,0,0,6,0,3,5,0,0,7,0,2,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methylobacterium",1,0,1,0.95522374575612,0.01,4,39,14,33,31,6,134,1012,344,7,190,6,56,9,4,14,0,5,7,6,59,7,2,4,10,2,23,19,13,7,1,8,21
"Moheibacter",1,0,1,0.612372435695794,0.01,5,6,0,0,0,0,0,0,380,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
