#SampleID	Description	Env	SourceSink	Study	Details
G1CA	G1CA	G1	sink	LP1	air from LP1 environment
G1CB	G1CB	G1	sink	LP1	air from LP1 environment
G1CC	G1CC	G1	sink	LP1	air from LP1 environment
G1IA	G1IA	G1	sink	LP1	air from LP1 environment
G1IB	G1IB	G1	sink	LP1	air from LP1 environment
G1IC	G1IC	G1	sink	LP1	air from LP1 environment
G1P1A	G1P1A	G1	sink	LP1	air from LP1 environment
G1P1B	G1P1B	G1	sink	LP1	air from LP1 environment
G1P1C	G1P1C	G1	sink	LP1	air from LP1 environment
G1P2A	G1P2A	G1	sink	LP1	air from LP1 environment
G1P2B	G1P2B	G1	sink	LP1	air from LP1 environment
G1P2C	G1P2C	G1	sink	LP1	air from LP1 environment
G1SA	G1SA	G1	sink	LP1	air from LP1 environment
G1SC	G1SC	G1	sink	LP1	air from LP1 environment
G1STA	G1STA	G1	sink	LP1	air from LP1 environment
G1STC	G1STC	G1	sink	LP1	air from LP1 environment
G2CA	G2CA	G2	sink	LP1	air from LP1 environment
G2CB	G2CB	G2	sink	LP1	air from LP1 environment
G2CC	G2CC	G2	sink	LP1	air from LP1 environment
G2IA	G2IA	G2	sink	LP1	air from LP1 environment
G2IB	G2IB	G2	sink	LP1	air from LP1 environment
G2IC	G2IC	G2	sink	LP1	air from LP1 environment
G2P1A	G2P1A	G2	sink	LP1	air from LP1 environment
G2P1B	G2P1B	G2	sink	LP1	air from LP1 environment
G2P1C	G2P1C	G2	sink	LP1	air from LP1 environment
G2P2A	G2P2A	G2	sink	LP1	air from LP1 environment
G2P2B	G2P2B	G2	sink	LP1	air from LP1 environment
G2P2C	G2P2C	G2	sink	LP1	air from LP1 environment
G2SA	G2SA	G2	sink	LP1	air from LP1 environment
G2SC	G2SC	G2	sink	LP1	air from LP1 environment
G2STA	G2STA	G2	sink	LP1	air from LP1 environment
G2STB	G2STB	G2	sink	LP1	air from LP1 environment
G2STC	G2STC	G2	sink	LP1	air from LP1 environment
SA01	Oral 1	oral	source	LP1	NA
SA03	Oral 2	oral	source	LP1	NA
SA04	Oral 3	oral	source	LP1	NA
SA05	Oral 4	oral	source	LP1	NA
SA06	Oral 5	oral	source	LP1	NA
SA07	Oral 6	oral	source	LP1	NA
SA09	Oral 7	oral	source	LP1	NA
SA11	Oral 8	oral	source	LP1	NA
SA12	Oral 9	oral	source	LP1	NA
SA13	Oral 10	oral	source	LP1	NA
SA14	Oral 11	oral	source	LP1	NA
SA15	Oral 12	oral	source	LP1	NA
SA16	Oral 13	oral	source	LP1	NA
SA17	Oral 14	oral	source	LP1	NA
SA18	Oral 15	oral	source	LP1	NA
SA19	Oral 16	oral	source	LP1	NA
SB01	Oral 17	oral	source	LP1	NA
SB02	Oral 18	oral	source	LP1	NA
SB03	Oral 19	oral	source	LP1	NA
SB04	Oral 20	oral	source	LP1	NA
SB05	Oral 21	oral	source	LP1	NA
SB06	Oral 22	oral	source	LP1	NA
SB07	Oral 23	oral	source	LP1	NA
SB08	Oral 24	oral	source	LP1	NA
SB09	Oral 25	oral	source	LP1	NA
SB10	Oral 26	oral	source	LP1	NA
SB11	Oral 27	oral	source	LP1	NA
