ID	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC
1	4598	2393	739	395	764	35	1702	512	25	5309	53	48	1070	91	4651	38	245	7334	6477	1	349	4939	164	66	4632	35	2786	1813	260	304	251	4359	921
10	158	113	27	4181	806	22	2470	9932	199	77	6	2	28	4	189	18	4	15	5	721	50	15	20	161	59	59	60	214	4	91	6	26	12
100	1	6	0	0	0	0	0	1	1	0	1538	72	0	0	1	0	0	1	25	0	1	15	0	0	0	0	1	0	0	0	4	228	56
1000	3	0	0	0	0	0	0	0	0	30	0	0	0	0	5	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1003	0	0	4	0	0	3	0	0	0	0	0	30	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1005	0	0	2	0	0	0	0	0	0	0	0	3	0	25	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1009	0	1	0	0	0	0	1	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	25	0	0	0
101	1	1	35	0	0	11	0	0	16	0	2	18	0	10	0	4	0	2	0	0	0	0	209	16	1	291	850	2	18	0	0	0	0
1011	2	0	1	2	0	0	0	0	0	1	3	2	0	1	1	1	1	1	0	0	2	0	1	1	0	0	0	0	1	1	0	1	0
1012	110	1	153	0	0	16	0	0	4	3	0	71	8	1	18	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
1014	1	2	3	0	0	11	1	0	0	0	5	8	0	11	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
1015	0	6	0	0	1	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0
1016	0	3	0	0	0	0	1	3	2	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0
1017	9	6	1	0	7	0	0	10	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1019	0	1	0	0	1	6	0	0	0	0	1	1	0	0	10	2	0	0	0	0	0	0	0	6	0	0	0	0	0	5	0	0	0
102	0	0	1	0	1	499	0	1	524	0	1	525	0	0	20	0	0	0	0	0	1	0	3	1	0	191	0	0	0	1	0	1	0
1020	1	7	1	0	1	0	1	3	0	0	0	0	0	0	0	0	1	1	7	0	0	0	0	0	0	0	1	0	0	0	1	1	0
1021	0	4	0	0	0	0	1	3	4	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	2	0	1	0	0	0	0	0
1022	0	0	4	0	2	5	0	0	3	0	1	1	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1023	1	1	2	0	0	0	0	2	0	0	0	4	0	3	0	0	0	0	0	0	0	1	2	0	1	0	0	1	1	1	0	0	0
1024	2	0	1	0	1	2	0	0	15	2	1	1	0	0	2	1	0	1	1	0	3	0	0	0	2	0	0	1	0	0	0	0	1
1026	0	0	1	0	0	0	1	7	0	0	1	1	1	0	0	0	0	1	0	0	2	0	0	0	0	1	2	0	0	0	0	2	0
1028	0	0	0	0	0	1	0	0	13	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0
1029	0	0	1	0	0	0	0	0	0	0	0	48	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	16	15	2	886	454	22	2	5	0	1	0	0	0	1	4	0	1	0	0	0	1	0	0	13	6	0	3	6	14	3	0	2	1
