ID	SA01	SA03	SA04	SA05	SA06	SA07	SA09	SA11	SA12	SA13	SA14	SA15	SA16	SA17	SA18	SA19	SB01	SB02	SB03	SB04	SB05	SB06	SB07	SB08	SB09	SB10	SB11	SB12	SB13	SB15	SB16	SB17	SB18	SB19	SC01	SC02	SC03	SC04	SC05	SC06	SC07	SC08	SC09	SC10	SC11	SC12	SC13	SC14	SC15	SC17	SC18	SC19	SD01	SD02	SD03	SD04	SD05	SD06	SD07	SD08	SD09	SD10	SD11	SD12	SD13	SD14	SD15	SD17	SD18	SD19
1	135	728	1318	3018	4729	881	686	1047	1444	1728	1362	477	527	1782	896	3615	138	351	282	177	1466	975	665	47	216	43	1035	673	892	901	907	1110	609	1010	775	3811	977	7086	5929	3540	563	103	2524	47	2734	1991	2530	1437	975	856	2179	786	1191	849	616	77	3852	6900	1415	425	1970	300	1180	752	888	406	1480	722	1068	940
10	40	408	176	20	4	56	1001	177	847	1148	132	605	501	306	449	152	123	366	473	182	58	43	93	42	113	124	83	212	359	1727	152	370	43	205	454	256	305	173	62	40	860	191	144	175	89	106	110	51	1079	110	36	173	307	51	81	22	21	9	18	44	513	974	709	1126	1248	1566	3175	238	254	126
100	713	57	49	17	8	59	12	15	10	23	29	13	33	18	7	8	6	7	1	3	4	1	1	3	1	3	0	1	1	2	1	2	1	2	1	1	3	7	0	2	3	4	1	4	2	1	4	2	3	22	10	28	2	1	2	1	1	0	1	1	2	9	3	2	5	3	14	10	1	2
1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	1	0	5	1	0	0	0	2	0	0	0	4	1	2
1001	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	2	0	0	0	3	0	2	0	0	5	0	1	1	0	0
1002	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	3	3	1	1	2	0	1	1	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	3	1	1	0	2	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	3	0	0	0	0	1	0	1	1	0	1
1005	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	2	0	1	2	4	3	3	0	1	3	8	2	2	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	3	0	0	3	0	0	1	1	0	1	4	1	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	5	0	0	1	0	0	0	1	1	1	3	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
