ID	FR1	FR2	FR3	FR4	FR5	FR6	GR1	GR2	GR3	GR4	GR5	GR6	HR1	HR2	HR3	HR4	HR5	HR6	SR1	SR2	SR3	SR4	SR5	SR6
1	1101	1085	1901	20766	3209	17901	2676	3135	1221	11882	97	4866	210	197	4496	3665	4876	3378	9328	11248	9151	13412	12062	8482
10	573	584	541	296	252	375	110	116	127	105	401	130	113	105	145	163	136	168	780	744	1018	83	53	83
100	11	0	5	152	18	97	0	3	2	311	0	245	215	139	88	151	42	49	16	5	25	18	17	28
1000	0	3	5	7	6	2	0	0	0	6	0	0	0	0	25	19	10	13	10	3	0	5	4	17
1001	0	0	9	0	14	4	8	0	0	5	0	0	1	4	10	13	6	10	0	0	4	16	28	20
1002	0	0	0	1	0	5	0	0	0	1	0	0	60	75	1	3	5	2	2	4	8	0	0	1
1003	11	0	9	14	10	19	0	5	0	2	0	0	1	6	0	3	2	6	0	0	3	11	5	15
1004	2	0	5	10	16	18	13	26	10	4	17	0	0	0	0	0	2	2	0	8	0	2	2	2
1005	19	14	24	2	0	1	19	19	25	1	1	4	10	9	0	0	1	2	0	0	0	0	1	0
1006	20	14	11	2	4	6	19	10	11	17	35	6	0	1	25	4	1	2	38	41	2	2	3	3
1007	2	16	2	2	0	1	7	3	3	3	9	6	0	0	17	1	0	2	14	26	4	1	1	0
1009	17	2	0	0	6	2	13	3	3	10	32	1	1	0	8	0	0	0	4	14	1	2	1	2
101	98	104	66	35	58	37	46	40	28	63	66	78	41	34	211	154	183	156	7	8	12	49	85	84
1010	0	9	17	0	0	1	18	18	51	0	0	0	6	7	2	1	1	0	2	1	3	0	0	1
1011	0	0	2	0	0	2	52	23	44	0	28	0	70	64	0	1	2	2	4	10	6	1	2	2
1012	0	0	0	0	3	0	0	0	8	0	92	1	0	0	0	0	0	0	0	0	0	0	0	0
1013	40	10	27	1	0	2	7	8	7	0	0	5	2	0	0	0	0	0	0	0	2	2	1	3
1014	25	35	18	4	6	15	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	1
1015	7	12	0	4	6	38	0	1	0	0	0	4	7	9	0	6	6	5	8	1	1	15	7	20
1016	2	0	2	9	0	4	0	0	0	8	0	8	5	8	1	5	8	10	4	0	16	6	3	3
1017	2	1	2	0	5	2	5	19	0	12	19	2	0	0	4	9	1	2	17	11	0	0	3	5
1018	2	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2	12	3	22	28	31
1019	0	2	0	32	14	33	1	0	0	1	1	20	2	4	12	3	2	13	0	0	0	2	13	1
102	10	2	1	12	5	10	6	7	3	4	1	17	965	905	1	2	2	2	82	68	88	2	0	13
1020	0	0	0	8	1	5	0	0	0	36	0	30	16	7	18	6	7	11	0	0	0	4	2	5
1021	0	0	0	1	1	1	0	0	0	12	0	18	58	63	0	0	2	1	0	0	0	1	1	2
1022	3	3	6	6	1	4	4	0	0	0	1	0	29	33	5	1	3	2	0	25	8	10	8	12
1023	9	16	17	2	0	5	0	0	0	0	0	0	7	4	0	1	0	0	18	2	10	5	15	2
1024	11	10	0	1	2	0	12	23	3	0	0	0	0	0	0	0	0	0	23	21	19	2	1	0
1025	17	11	12	1	0	0	3	3	22	0	1	0	2	0	0	3	0	0	2	3	18	4	8	4
1026	2	3	6	2	4	1	14	28	34	0	4	0	0	0	0	0	0	2	0	1	0	0	0	0
1027	29	25	23	0	7	0	0	2	0	0	0	1	0	0	4	10	3	3	0	0	0	1	1	0
1028	2	0	1	1	0	2	0	0	6	0	0	0	11	6	0	3	4	4	34	17	18	2	12	0
103	75	60	49	28	62	84	386	326	257	6	1	21	1	1	7	28	22	31	20	1	13	6	6	11
1030	2	13	11	35	0	16	0	0	3	0	0	0	0	1	5	6	1	2	0	0	0	1	17	0
1031	9	2	7	0	5	5	5	2	0	9	35	4	0	0	0	3	0	1	5	76	3	1	1	7
1032	30	34	8	0	6	4	6	18	23	0	10	0	3	2	1	0	2	1	3	0	3	11	8	9
1033	3	4	0	0	9	1	0	0	0	0	0	3	1	3	0	1	0	2	0	14	4	15	27	39
1034	0	2	2	0	1	1	3	1	0	0	0	0	0	0	44	17	8	14	0	0	0	0	3	1
1035	0	2	6	2	50	0	2	3	3	9	21	17	1	0	0	0	2	1	0	0	0	1	29	1
1036	0	0	3	2	3	5	6	0	0	4	0	4	0	0	0	1	1	5	13	0	4	24	61	39
1037	0	1	0	2	5	0	6	3	8	0	64	0	0	1	0	0	0	0	0	17	3	3	2	0
1038	0	0	0	0	0	0	1	0	1	1	28	0	0	1	0	0	0	0	24	16	33	2	0	1
1039	43	31	62	2	18	0	5	8	9	0	17	1	2	1	0	0	4	2	0	6	3	2	3	3
104	0	3	2	1	0	2	2	4	0	9	0	1	2	1	9	5	2	6	350	430	487	21	40	25
1040	4	10	2	6	6	0	2	0	0	2	0	4	1	0	0	2	4	4	4	0	16	15	18	19
