OTUID	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC
OTU_1	8860	4587	1031	878	1460	34	4083	1223	55	9983	113	73	2445	124	9151	63	393	10813	12264	3	664	10633	379	113	10379	80	5641	3628	456	458	503	7935	1939
OTU_10	273	199	37	8853	1461	22	5492	23651	438	130	12	3	62	7	334	34	6	21	9	1620	86	31	45	258	120	136	106	390	7	124	13	47	24
OTU_100	0	9	0	0	0	0	0	2	2	0	2741	113	0	0	1	0	0	1	44	0	1	32	0	0	0	0	2	0	0	0	8	389	101
OTU_1000	5	0	0	0	0	0	0	0	0	56	0	0	0	0	10	0	2	4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
OTU_1001	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	2	0	0	0	0	0	31	0	0	3	0	0	14	0	0	0
OTU_1002	0	0	0	0	0	0	2	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_1003	0	0	5	0	0	3	0	0	0	0	0	44	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1004	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1005	0	0	3	0	0	0	0	0	0	0	1	5	0	44	0	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1006	0	0	0	0	0	0	0	0	2	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1007	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	48	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0
OTU_1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	61	0	1	1	0	3	0	0	0	1	2	0	0
OTU_1009	0	1	0	0	0	0	2	1	54	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	1	0	0	0	38	0	0	0
OTU_101	1	2	39	1	0	5	0	0	31	0	2	19	0	8	0	8	0	3	0	0	0	0	480	28	3	665	1717	5	31	0	1	0	0
OTU_1010	73	0	38	0	1	0	0	0	0	3	0	3	1	1	4	0	0	0	0	0	3	0	0	0	0	0	1	0	0	2	0	0	0
OTU_1011	4	0	1	5	0	0	0	0	0	1	7	3	0	2	2	2	2	1	0	0	3	0	3	1	0	0	1	0	2	1	0	1	0
OTU_1012	49	1	16	0	0	0	0	0	0	1	0	7	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1013	2	2	0	0	0	0	0	2	0	23	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
OTU_1014	1	3	4	0	0	11	2	0	0	0	10	13	0	4	1	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	3
