names,G1CA,G1CB,G1CC,G1IA,G1IB,G1IC,G1P1A,G1P1B,G1P1C,G1P2A,G1P2B,G1P2C,G1SA,G1SC,G1STA,G1STC,G2CA,G2CB,G2CC,G2IA,G2IB,G2IC,G2P1A,G2P1B,G2P1C,G2P2A,G2P2B,G2P2C,G2SA,G2SC,G2STA,G2STB,G2STC
Oral,4.50E-07,2.33E-07,1.42E-07,9.31E-07,4.62E-08,6.61E-07,7.68E-07,1.07E-05,1.05E-07,5.60E-08,0.281049607,7.44E-05,4.00E-06,3.04E-07,1.29E-06,5.94E-07,1.32E-07,5.62E-07,1.33E-06,1.06E-07,1.29E-06,7.33E-06,7.62E-07,6.79E-07,2.66E-06,3.31E-06,0.011036756,1.99E-06,7.58E-07,1.27E-06,1.62E-06,0.127999108,0.02907056
Oral,1.91E-05,3.19E-05,0.001158598,1.61E-10,1.16E-05,2.28E-05,1.08E-05,8.23E-25,2.77E-06,7.08E-06,1.55E-18,1.33E-05,3.41E-14,3.40E-07,7.23E-08,1.71E-06,2.43E-08,0.001431412,3.76E-11,2.18E-12,0.055831919,0.00238158,1.05E-06,8.51E-06,5.84E-07,7.11E-05,0.080171121,2.23E-05,0.003426263,3.47E-05,1.27E-07,9.35E-05,3.44E-08
Oral,0.000960623,8.79E-05,1.90E-05,3.41E-07,0.000716319,1.80E-08,0.00128503,6.34E-17,1.65E-05,0.000277549,4.32E-53,5.46E-38,1.51E-07,3.31E-13,1.84E-05,1.71E-10,2.36E-08,0.002641673,7.89E-07,1.79E-11,0.40420427,0.105559793,1.17E-05,0.006164788,1.39E-09,7.63E-15,0.03225764,0.057205879,3.31E-16,0.000158561,2.19E-07,0.013972701,1.10E-19
Oral,0.003657784,0.000256494,7.71E-05,1.20E-05,5.85E-05,1.45E-05,8.05E-05,3.47E-16,7.21E-09,0.001388263,0.168876027,0.000367998,2.84E-13,8.99E-08,0.037947405,5.25E-06,1.40E-08,1.14E-05,0.001775835,3.66E-08,8.89E-11,0.080464839,5.77E-05,0.000492282,0.074474137,0.000314007,8.47E-08,0.364880998,0.000105991,0.001531701,8.48E-12,2.97E-10,1.79E-21
Oral,0.006955227,0.000880583,3.18E-05,0.000111148,8.28E-05,2.92E-13,5.47E-05,9.37E-21,9.66E-06,0.008100667,2.73E-65,8.95E-26,2.98E-13,2.95E-10,0.153230566,0.000241452,1.54E-09,0.001646531,5.27E-06,8.07E-14,1.15E-09,8.11E-05,1.63E-07,0.000266138,0.000478445,2.05E-13,3.32E-07,0.063343101,6.58E-05,0.000167992,4.60E-11,4.08E-11,2.61E-15
Oral,2.95E-05,4.81E-07,9.47E-07,2.81E-05,5.25E-07,5.30E-09,1.08E-06,5.23E-07,1.01E-05,5.71E-08,1.76E-72,9.57E-14,0.363407617,1.16E-07,0.008646628,1.41E-05,1.34E-08,1.23E-07,1.39E-10,4.19E-16,0.364407222,0.000927237,0.002095358,0.00653952,9.76E-06,0.000333556,5.10E-06,0.038463406,0.080805969,0.328981875,5.97E-09,2.93E-24,1.20E-24
Oral,2.52E-05,1.10E-05,3.21E-05,1.25E-05,3.52E-07,3.35E-06,1.82E-07,1.24E-16,3.35E-05,5.34E-07,6.72E-44,1.33E-08,6.59E-08,5.79E-06,0.011796545,0.000446775,9.25E-06,2.17E-07,2.48E-07,1.03E-17,0.000103297,5.25E-06,0.003110442,0.029489513,9.78E-10,7.72E-05,1.62E-09,7.63E-05,0.053677184,0.102137392,1.41E-05,3.74E-29,6.08E-25
Oral,7.93E-05,9.18E-06,5.61E-05,4.92E-05,5.00E-08,1.87E-11,1.44E-06,2.06E-10,7.96E-08,7.33E-08,5.12E-40,1.69E-10,8.70E-08,1.05E-05,0.051786321,0.006604438,7.39E-05,1.59E-05,1.02E-05,1.01E-19,0.000503651,2.58E-07,0.012178231,0.443367452,1.15E-10,8.01E-10,6.24E-09,0.001656216,0.306426107,0.261138021,0.000364458,7.95E-22,2.39E-14
Oral,2.18E-05,0.000173965,2.47E-05,0.000145459,1.37E-05,2.54E-06,2.51E-08,1.32E-14,1.61E-07,1.00E-06,3.39E-29,9.49E-09,0.069486898,0.000745974,0.000669921,0.057071169,0.004954541,0.000109872,8.95E-05,0,2.74E-06,2.87E-06,0.000351457,0.000203165,5.35E-10,9.48E-07,5.64E-07,1.10E-05,0.030187685,0.002512421,0.001705142,2.88E-20,4.76E-15
Oral,9.74E-05,0.000191921,0.000208574,3.18E-06,6.48E-06,4.51E-06,0.000272344,0.01983144,1.95E-07,3.49E-05,9.94E-19,0.001295541,7.37E-11,2.43E-05,0.000413442,0.00423224,5.16E-06,6.12E-05,2.75E-05,1.24E-20,2.69E-10,4.15E-08,0.000317755,3.61E-05,3.42E-07,4.14E-08,5.22E-07,2.64E-05,5.99E-06,3.45E-06,1.36E-05,2.39E-12,1.98E-11
Oral,0.000639179,9.02E-05,0.000107294,2.77E-06,0.000210969,0.001713482,3.06E-07,5.62E-07,1.89E-07,6.06E-05,1.55E-26,2.02E-09,8.62E-07,0.000567861,0.008769254,0.001284669,9.16E-06,2.65E-06,5.03E-06,9.80E-13,6.45E-08,1.07E-08,0.000266678,0.003829158,5.03E-09,4.26E-05,5.08E-08,0.000596955,0.000216807,0.02760871,0.000208536,1.00E-16,9.14E-10
Oral,3.29E-07,0.000231807,0.002818262,1.12E-08,3.70E-05,0.017555521,0.044508034,0.139838171,0.00014645,0.000951689,1.07E-31,5.63E-07,5.15E-18,1.29E-05,4.15E-05,2.39E-07,7.68E-15,1.02E-05,6.05E-06,5.81E-12,1.12E-14,7.94E-16,0.003398963,0.001863088,2.01E-07,0.0001424,1.95E-09,1.47E-10,3.94E-20,1.17E-10,0.006753908,1.22E-17,5.65E-57
Oral,5.31E-06,2.43E-05,0.000496117,3.98E-09,2.18E-06,0.000543038,0.001841449,0.062488368,0.030642468,5.63E-05,1.10E-35,8.38E-13,2.15E-23,9.18E-05,3.83E-07,1.75E-07,2.19E-09,2.04E-06,1.81E-06,1.88E-08,3.81E-06,1.46E-05,5.72E-05,0.000669045,1.76E-08,0.006268916,1.89E-09,0.002050768,3.95E-06,0.000265411,0.040016814,1.92E-18,4.66E-23
Oral,0.000732061,0.003496329,0.00056099,5.09E-07,1.18E-05,0.084532221,0.003609233,1.16E-25,0.039333296,0.032805583,3.77E-21,2.62E-10,5.93E-19,0.000231904,0.00079987,0.000349078,8.41E-11,0.000281484,5.65E-07,2.95E-10,1.08E-10,6.52E-07,0.000249336,7.33E-05,0.035267004,0.00010993,2.92E-08,0.000205365,1.72E-18,3.56E-09,1.18E-07,2.81E-11,1.65E-18
Oral,8.17E-05,0.004536133,0.004915623,1.63E-08,0.000225696,0.003758508,0.041550634,1.28E-25,0.001947377,0.014744544,7.47E-23,3.34E-11,1.79E-20,0.000371639,1.75E-05,1.59E-08,3.92E-11,2.60E-05,1.17E-09,9.63E-12,1.93E-07,2.35E-05,0.004234558,0.006456036,0.017067333,1.15E-06,1.75E-05,0.000157843,7.20E-09,5.32E-05,2.54E-05,5.50E-14,3.02E-23
Oral,0.002227804,0.000418501,3.98E-05,2.40E-05,0.001986928,1.11E-11,0.000214557,2.23E-16,1.22E-05,0.000384731,1.10E-40,5.80E-34,6.82E-13,2.89E-09,0.111360038,1.20E-07,1.23E-08,0.002603083,8.17E-06,4.19E-11,5.75E-07,0.009194366,1.87E-06,0.000213889,0.010313107,8.60E-09,8.14E-07,0.002281171,6.90E-06,1.98E-05,1.27E-13,2.71E-10,2.53E-18
Oral,1.89E-07,2.43E-05,8.69E-06,7.10E-07,0.0010999,0.003310393,5.90E-12,0.001139156,0.403249025,2.74E-05,5.40E-29,2.66E-42,1.99E-06,0.028690908,8.64E-09,1.02E-07,1.79E-05,0.000421775,8.43E-08,3.66E-07,0.015666378,1.60E-09,0.024919448,1.43E-05,4.83E-08,0.014727535,7.71E-06,1.70E-14,0.000166711,1.49E-15,4.09E-07,1.05E-19,5.25E-19
Oral,2.13E-05,3.45E-06,0.00034211,1.24E-08,1.77E-05,5.63E-06,3.58E-09,3.32E-05,0.00071153,0.000105064,2.54E-40,3.68E-29,2.50E-11,0.001033653,1.17E-09,1.31E-07,0.000128541,0.004537806,2.88E-08,1.48E-09,0.000275741,0.00019206,0.000131768,1.05E-06,0.059905646,0.006620977,0.037098429,2.31E-09,3.99E-07,6.51E-08,5.14E-05,2.31E-15,4.53E-20
Oral,0.000100534,2.23E-06,2.89E-05,4.95E-08,0.00026756,0.000107982,1.61E-05,9.00E-20,0.023605714,0.000127871,1.57E-75,2.71E-44,3.21E-18,1.27E-06,1.41E-10,6.69E-09,3.12E-06,0.000266707,1.45E-08,5.82E-17,0.000222219,4.64E-08,0.000705286,0.001774485,1.03E-05,1.16E-09,9.29E-08,1.29E-06,2.88E-07,0.000147903,1.36E-05,2.03E-28,1.11E-46
