Genus	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC
Achromobacter	7	2	37	0	0	25	2	7	173	0	7	8	37	48	6	171	1	2	0	61	10	0	17	3	3	0	5	0	1284	4	8	3	1
Acidovorax	0	3	8	0	0	1	0	8	61	0	5	1	98	1	0	0	0	1	0	0	11	0	0	7	0	0	0	0	0	0	0	0	0
Acinetobacter	10405	11284	3654	2501	7224	8580	11615	1568	3301	3060	756	2833	1207	3236	11006	1719	11233	3957	3409	9	11086	9250	8025	12884	2276	1688	5383	7992	1136	9904	3079	1550	55
Advenella	0	0	0	0	3	0	6	0	0	6	0	0	0	3	4	0	0	0	0	8629	0	0	0	0	0	0	0	0	2	1	1	0	1
Aerococcus	1	1066	9	1	16	0	1	10	1	0	1782	12	4	7	2	1	0	1	7	12	0	1	0	1	0	0	0	0	0	0	132	13	7
Aeromicrobium	33	63	1	1	5	6	0	3	43	36	14	1	0	1	66	29	1	0	1	0	76	3	9	2	11	1	3	128	1	1	0	0	0
Aeromonas	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	36	0	0	0	0	0	0
Agromyces	61	5	0	19	14	2	2	2	14	0	0	0	1	1	9	8	1	0	0	57	25	0	7	30	0	2	4	2	0	76	0	1	0
Akkermansia	0	11	0	0	0	0	11	50	43	0	1	0	2	1	0	1	1	0	16	2	0	9	5	0	8	10	0	8	0	0	1	0	0
Algoriphagus	0	0	0	0	0	0	0	0	142	0	1	0	0	0	653	0	0	0	0	0	0	0	273	4	0	178	0	0	0	0	0	0	0
Alkalibaculum	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	529	0	0	0	0	0	0	0	0	0	0
Alkanindiges	139	22	17	1	9	22	21	31	903	4	9	2	0	34	415	7	1	0	2	0	1	1	0	3	246	0	0	253	0	240	0	1	6
Allobaculum	0	6	0	0	0	0	3	2	5	0	0	0	1	0	0	0	0	0	4	0	0	3	0	0	0	3	0	3	0	0	0	0	0
Altererythrobacter	0	0	0	0	0	0	1	1	24	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminobacter	2	2	0	1	2	2	0	1	75	0	3	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0
Anaerosalibacter	0	5	0	0	0	0	3	4	6	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	0
Anaerospora	0	0	30	0	0	18	0	0	0	0	0	54	0	46	0	3	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Anaerosporobacter	0	0	1	0	0	0	0	0	1	0	1	1456	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Anaerovorax	0	1	16	0	0	1	0	0	1	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ancylobacter	0	0	0	0	0	1	0	0	6	0	2	0	6	0	1	1	0	0	0	0	16	0	104	9	0	79	1	0	0	0	0	0	0
Aquabacterium	0	0	0	0	0	0	0	3	79	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcticibacter	102	7	4332	11	1	325	0	0	123	2	34	6302	1	8504	11	9	2416	1092	780	1	3	6	319	130	804	2294	2488	1760	12257	37	320	113	4
Arthrobacter	12319	1625	26	922	1976	23	34831	8054	1650	11526	2576	34	461	84	5796	54	120	403	377	176	738	510	961	466	2855	356	2529	1851	193	1794	59	159	56
Asticcacaulis	0	0	0	1	0	0	1	0	341	0	4	0	4	0	7	45	0	0	1	0	0	1	1	10	0	0	0	0	0	0	0	0	1
Azospirillum	0	4	13	0	0	717	2	8	687	0	0	6	0	566	0	5	0	0	0	0	0	2	0	1	2	0	0	1	0	0	0	0	0
Bacillus	9	80	51	5	8330	154	12	150	531	17	476	204	67	37	7	16	4	8	17	38	4	13	25	3	8	34	99	179	1	1	13	15	8
Bacteroides	11	2	26	25	6	13	2	34	30	15	28	28	5	20	31	25	10	7	6	19	6	2	22	36	1	11	1	1	27	16	23	13	13
Barnesiella	0	1	0	0	0	0	1	3	16	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
Blastomonas	0	0	0	0	0	2	0	1	11	0	2	0	0	0	1	0	0	0	0	0	13	0	6	0	0	6	0	0	0	0	0	0	0
Blautia	9	2	15	12	2	9	1	0	10	8	20	24	4	14	6	10	4	4	3	8	5	1	16	23	0	3	1	3	7	9	9	7	7
Bosea	18	47	9	41	12	1	1	9	74	1	3	0	9	1	0	7	0	0	0	0	19	1	1	1	1	0	0	1	1	1	0	0	0
Brachybacterium	257	720	0	52	226	4	12	52	8	106	1480	16	92	7	123	1	6	5	11	1	16	73	118	3	122	1	75	123	0	1	3	7	10
Bradyrhizobium	4	3	3	5	0	0	27	326	14	2	15	2	16	1	0	4	0	1	0	0	0	4	1	0	1	1	1	0	0	0	0	0	1
Brevibacterium	76	114	0	35	511	3	2	26	3	23	115	12	3	0	13	0	1	15	17	2	4	56	64	0	53	2	13	94	0	3	5	5	3
Brevundimonas	551	3122	508	2603	1395	280	771	1830	1105	38	71	36	5217	258	4192	839	47	21	65	7720	5884	442	601	5084	576	4081	276	3769	12312	7156	327	70	64
Buttiauxella	89	1019	904	3	5	13	9	20	28	1	1809	528	10	2161	20	5879	11051	769	4399	6	32	103	33	12	184	2	590	3	35	8	14270	4586	8206
Camelimonas	2	2	0	0	0	0	0	2	0	23	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Carnobacterium	4	218	82	7	10	0	1	5	8	80	6789	206	0	224	155	0	222	87	10305	1	12	899	1	0	1719	1	261	916	0	1	7	1967	4
Caulobacter	0	1	0	0	0	3	3	0	171	0	0	0	0	2	37	0	0	0	0	0	1	0	1	0	0	0	0	1	104	0	0	0	0
Cellulomonas	2	2	1	3	2	3	0	8	2	0	10	62	0	63	0	16	0	2	1	4	10	0	9	2	1	7	369	3	0	0	0	0	0
Cellulosilyticum	0	0	5	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	156	75	0	0	0	0	0	0	0	0	0
Cellulosimicrobium	0	4	0	0	19	0	0	9	0	0	4	2	0	3	1	4	0	0	2	0	0	0	0	0	1	1	1	1	0	0	0	0	0
Cereibacter	4	3	0	1	0	0	0	7	14	1	1	2	0	4	1	0	0	0	0	0	463	0	2769	3466	3	32	2	1	0	0	2	0	2
Chlorophyta	3	10	0	0	2	0	2	2	0	0	13	0	0	0	1	6	1	1	9	0	0	2	11	0	19	3	2	4	0	0	18	13	83
Chryseobacterium	4186	261	167	10	3	1568	698	289	3156	278	942	3176	35	1243	673	27	3	1962	3527	2	46	616	1743	1923	9989	9763	6441	10063	8956	3295	559	353	26
Chryseomicrobium	0	2	0	2	0	0	0	27	29	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Citricoccus	4	20	0	4	10	3	5	4	33	6	65	0	16	0	5	0	0	0	1	0	5	4	0	1	11	0	0	3	1	0	0	0	0
Citrobacter	0	4	4	0	0	0	0	0	0	0	8	0	0	1	1	43	78	0	0	0	0	0	0	0	0	0	4	0	0	0	353	238	1
Clostridium_IV	0	0	3	2	0	3	0	0	0	5	3	8	0	1	1	2	0	0	0	1	1	0	1	3	0	0	0	0	0	2	0	0	1
Clostridium_sensu_stricto	2	17	5593	1	0	350	17	56	170	3	19	3999	11	2183	2	11803	0	0	4	2807	3	8	397	4	21	13	11	3	2	0	32	4	146
Clostridium_XI	0	0	0	0	0	0	0	0	0	0	0	14	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_XlVa	8	1	192	5	1	46	1	16	6	8	13	1190	2	50	2	344	1	3	3	0	1	2	11	10	0	3	159	5	4	4	9197	249	3
Clostridium_XlVb	2	0	130	0	0	1	0	12	5	0	1	699	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0
Cohnella	0	2	1	0	0	2	0	1	4195	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Comamonas	0	0	1	0	0	394	0	2	0	0	3	3	1	0	0	1	3	0	15	0	0	129	21	819	0	78	52	0	0	0	0	3	1
Corynebacterium	1	76	0	8	22	2	0	24	3	3	91	1	1	0	3	9	8	9	36	1	0	33	2	1	2	2	2	3	4	2	6	4	53
Curtobacterium	7	4	0	44	12	0	0	5	12	3	5	2	5	1	7	1	0	26	1	0	8	2	1	1	7	0	1	26	0	7	0	0	0
Deinococcus	0	1	0	3	9	0	216	480	65	9	1	0	0	0	0	0	0	0	9	0	1	0	10	8	106	188	1	48	0	3	0	0	4
Delftia	53	16	584	0	1	1262	0	6	1065	0	17	76	0	2162	13	378	140	10	0	2	21	10	831	53	24	251	8	200	66	9	19	0	0
Dermacoccus	18	21	15	0	3	0	0	0	0	0	2	1	2	4	0	1	17	12	850	0	0	4	0	0	14	0	3	34	0	5	12	3	11
Desemzia	1	3450	13	1	29	0	0	14	8	4	11615	94	0	215	2	0	0	1	47	104	0	5	1	1	3	1	20	0	1	0	0	2	1
Desulfosporosinus	0	1	6	0	0	0	1	2	4	0	0	169	1	0	0	0	0	0	0	0	0	2	381	0	1	0	24	1	0	0	0	0	0
Desulfovibrio	0	4	0	0	0	0	2	16	8	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Devosia	71	38	8	0	7	64	3	15	6224	11	33	2	100	4	60	83	0	0	3	0	127	0	111	428	2	1042	0	3	0	21	4	3	16
Dietzia	4	14	3	1	1	0	0	16	1	15	50	0	0	5	32	6	0	0	0	0	0	1	2	0	6	2	6	2	1	0	3	1	5
Domibacillus	0	12	0	0	2	0	7	4	14	5	31	0	0	0	1	0	0	0	0	0	0	0	0	0	6	1	0	2	0	0	0	0	0
Duganella	0	0	0	2	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyadobacter	0	1	0	1	0	0	2	9	425	0	0	0	208	0	3	1	0	0	0	0	29	0	1024	37	0	65	1	2	0	9	0	3	0
Empedobacter	44	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enhydrobacter	2	1550	1246	5	103	97	0	52	111	1	12	169	4	268	0	4	12	1	101	4	0	2	1	0	3	1	0	22	1	0	2	1	4
Enterococcus	0	63	209	4	15	56	9	29	22	1	31	389	2	1044	1	3091	2	5	10	6	0	38	15	18	2	8	0	1	4	0	591	14	29080
Epilithonimonas	1	1	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0	2	0	0	0	0	1	25	0	0	0	0	0	263	0	0	0
Erwinia	1	66	7	2	0	0	0	0	1	3	110	7	0	5	0	8	1	8	49	0	22	30	0	0	15	0	13	0	0	0	10	176	3
Escherichia/Shigella	2	8	44	0	0	7	1	37	35	6	41	493	1	41	2	64	7	0	5	0	6	4	5	9	0	3	3	4	0	0	21	12	2
Exiguobacterium	423	1450	43	473	3568	18	705	950	262	10853	629	103	57	36	7186	17	3	943	3642	5	31	24971	1800	94	21248	120	3618	13599	6	712	8	2319	0
Faecalibacterium	24	1	23	30	7	13	0	0	1	34	45	41	0	35	17	16	9	7	1	11	9	0	30	34	0	0	5	0	17	20	9	20	10
Fictibacillus	0	0	0	0	2	0	0	20	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Flavobacterium	2045	34	79	3	5	793	58	26	3471	153	34	56	8706	212	8387	561	8	62	65	9990	5381	22	1665	400	71	2574	168	312	2841	1186	564	28	16
Galbibacter	0	9	0	0	10	0	0	0	0	0	32	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geodermatophilus	0	0	1	0	0	0	32	153	11	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Georgenia	0	44	1	0	6	1	0	34	3	0	90	5	0	2	0	0	0	0	0	0	0	1	1	1	1	1	18	0	0	0	0	0	0
Glycomyces	0	4	1	0	148	3	0	68	8	0	4	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0
